Resistance
+7.91273004E-03
+5.51881109E-03
+7.07147204E-03
+6.59716706E-03
+5.21391153E-03
+5.41161340E-03
+6.98685037E-03
+6.58026378E-03
+7.09406764E-03
+8.24023093E-03
+6.99807488E-03
+6.48429546E-03
+6.78919573E-03
+6.55769390E-03
+6.54074242E-03
+7.84508446E-03
+6.26964385E-03
+6.17377995E-03
+6.15686210E-03
+7.37072642E-03
+6.29795970E-03
+8.30237848E-03
+6.99239378E-03
+6.33747367E-03
+6.93590685E-03
+6.43351254E-03
+6.70451837E-03
+5.36635281E-03
+7.53445758E-03
+6.04958141E-03
+6.61972704E-03
+7.09977197E-03
+7.00942718E-03
+7.65302055E-03
+6.67054756E-03
+6.30927922E-03
+7.99175258E-03
+6.13997723E-03
+5.88013929E-03
+7.56828585E-03
+9.62348048E-03
+7.44415328E-03
+6.18513595E-03
+7.63039187E-03
+7.94666511E-03
+5.65434379E-03
+5.08409700E-03
+5.45113122E-03
+6.07208609E-03
+7.38768971E-03
+6.50126828E-03
+5.24211290E-03
+5.96488390E-03
+8.29663878E-03
+7.89013116E-03
+7.96352469E-03
+5.36631529E-03
+5.64301915E-03
+5.45110312E-03
+6.98672507E-03
+6.98111214E-03
+6.00437657E-03
+5.67696256E-03
+5.89144534E-03
+7.62483877E-03
+7.06019307E-03
+5.73334664E-03
+7.01500831E-03
+6.25280565E-03
+6.08339256E-03
+6.71580371E-03
+6.71012128E-03
+6.54077593E-03
+6.38832738E-03
+6.06084278E-03
+6.69322018E-03
+6.19637973E-03
+5.76726504E-03
+5.87450015E-03
+6.33185138E-03
+5.85759796E-03
+6.08913459E-03
+6.52386521E-03
+5.19141016E-03
+5.88582998E-03
+6.36016238E-03
+8.86128485E-03
+1.08204771E-02
+1.00074657E-02
+7.90714077E-03
+5.90836990E-03
+6.67617710E-03
+8.93471064E-03
+7.44414509E-03
+8.00308188E-03
+9.28473669E-03
+4.64935179E-03
+5.07844254E-03
+6.76660550E-03
+5.56967186E-03
+6.49560781E-03
+6.37703107E-03
+7.09411091E-03
+6.52385225E-03
+5.86887936E-03
+6.24156810E-03
+5.24786431E-03
+6.41081051E-03
+6.02126718E-03
+1.01768200E-02
+5.84632747E-03
+5.77287119E-03
+6.21326308E-03
+6.69883974E-03
+5.38331977E-03
+4.33315910E-03
+7.80547859E-03
+5.45674811E-03
+6.33187125E-03
+5.39459799E-03
+6.84005277E-03
+5.93666520E-03
+6.01574932E-03
+5.10097082E-03
+4.78481183E-03
+4.21454494E-03
+5.55837247E-03
+4.94294015E-03
+6.06653672E-03
+5.84631694E-03
+5.58090030E-03
+5.30998021E-03
+4.70579082E-03
+5.02766553E-03
+5.04465317E-03
+5.38895726E-03
+5.71643866E-03
+5.90275460E-03
+6.17375638E-03
+5.51323719E-03
+6.39392603E-03
+5.10661539E-03
+5.20827611E-03
+4.77924742E-03
+5.27042142E-03
+5.08972904E-03
+4.22588772E-03
+5.16882201E-03
+3.15878956E-03
+4.85832512E-03
+4.23156193E-03
+3.33944698E-03
+1.85457625E-03
+3.48065371E-03
+5.45111997E-03
+7.08330988E-04
+4.56466834E-03
+4.76222712E-03
+3.68948431E-03
+1.49893799E-03
+6.25273966E-03
+1.86014809E-03
+1.83192792E-03
+3.06283671E-03
+4.70010635E-03
+4.30489432E-03
+3.33942541E-03
+4.96552192E-03
+3.81936895E-03
+3.83059099E-03
+1.48759970E-03
+4.03953807E-03
+9.05857619E-04
+3.25475725E-03
+4.36708892E-03
+1.86017205E-03
+2.28501387E-04
+2.40781044E-03
+9.23012322E-04
-1.44343323E-05
+1.34075066E-03
+1.84891938E-03
+8.26992525E-04
+2.56597284E-03
+3.33948714E-03
+2.98376137E-03
+3.37332570E-03
+4.33877457E-03
+2.75802568E-03
+3.89841627E-03
+1.52148719E-03
+6.39960183E-03
+6.28668161E-03
+5.45672148E-03
+5.16883285E-03
+6.04390190E-03
+5.56401454E-03
+5.50755882E-03
+4.88642057E-03
+6.78355238E-03
+6.62541957E-03
+5.56969211E-03
+1.80368687E-03
+7.36503644E-03
+4.51392553E-03
+7.01502779E-03
+2.93851523E-03
+3.94921967E-03
+4.91460859E-03
+3.38462583E-03
+3.68390837E-03
+2.89904996E-03
+4.64931784E-03
+6.30927727E-03
+1.59480156E-03
+1.63427638E-03
+4.35009689E-03
+4.79050434E-03
+5.82372539E-03
+2.47552895E-03
+3.99445161E-03
+4.66063910E-03
+2.47001544E-03
+1.10930890E-03
+2.35149318E-03
+2.43617517E-03
+4.31629774E-03
+4.04525164E-03
+1.84322818E-03
+1.97319807E-03
+2.79744747E-03
+5.60350592E-03
+3.98880937E-03
+4.56465786E-03
+5.53572325E-03
+4.32187961E-03
+4.22593499E-03
+4.40655833E-03
+6.20764058E-03
+5.04460861E-03
+4.84699525E-03
+3.45238920E-03
+4.15243780E-03
+4.41792267E-03
+6.14559000E-03
+5.23089152E-03
+4.38963675E-03
+4.81308206E-03
