MAGNET_DISTANCE=10
DELAY=-2
Time,Resistance
0.7815725803375244,+2.80330584E-03
1.5645275115966797,+5.02220548E-03
2.3495917320251465,+4.20712625E-04
3.1325762271881104,+9.90943192E-04
3.916276216506958,+3.10250245E-03
4.701263427734375,+1.69106217E-03
5.484922647476196,+1.79256167E-03
6.2696990966796875,+2.53221322E-03
7.052556037902832,+1.29012249E-03
7.836539030075073,+3.62193871E-03
8.621631622314453,+3.36779977E-03
9.4055814743042,+3.26626169E-03
10.188684701919556,+2.24995504E-03
10.972869634628296,+2.63396902E-03
11.757608413696289,+1.60059612E-03
12.541646003723145,+9.68320598E-04
13.324887037277222,+3.09686044E-03
14.109607219696045,-2.90809207E-04
14.893561601638794,+1.70216117E-03
15.677562236785889,+9.68371182E-04
16.460914611816406,+2.00146899E-03
17.24445676803589,+1.07559936E-03
18.029528379440308,+6.06928896E-04
18.813526153564453,+2.96543903E-04
19.597005605697632,+2.61694089E-03
20.381502389907837,+2.12016670E-03
21.16547656059265,+6.40852339E-04
21.948854684829712,+2.45881481E-03
22.733142137527466,+4.05672878E-03
23.51668119430542,+1.41446287E-03
24.3014395236969,+2.05805471E-03
25.08473038673401,+1.94855589E-04
25.869205474853516,+1.56119463E-03
26.653327703475952,+1.24498107E-03
27.43699026107788,+1.56115257E-03
28.220533847808838,+3.07991221E-03
29.005334615707397,+2.51539325E-03
29.788466691970825,+3.98894161E-03
30.57334017753601,+1.94499159E-03
31.35661554336548,+3.20417224E-03
32.14134693145752,+1.61762642E-03
32.92541980743408,+2.03542992E-03
33.70944881439209,+2.92188706E-03
34.49341893196106,+1.50455971E-03
35.27625775337219,+2.57177181E-03
36.061400175094604,+1.45385136E-03
36.84519839286804,+2.44198418E-03
37.628440856933594,+3.22669098E-03
38.41350078582764,+2.80892008E-03
39.19739294052124,+7.81964185E-04
39.98143744468689,+2.06928380E-03
40.76539373397827,+2.96512159E-04
41.54931282997131,+3.53172700E-03
42.332865953445435,+2.14832371E-03
43.11722803115845,+2.66776211E-03
43.901302099227905,+2.84280267E-03
44.68488168716431,+2.89929336E-03
45.468427419662476,+2.44190171E-03
46.253326177597046,+4.10187403E-03
47.03735876083374,+1.84342362E-03
47.8213210105896,+2.86553783E-03
48.60536432266235,+2.65649535E-03
49.389333724975586,+1.10135281E-04
50.17305111885071,+1.69113782E-03
50.95732116699219,-4.78612197E-05
51.74031209945679,+9.62549592E-04
52.5252480506897,+1.74183512E-03
53.308340311050415,+1.75318728E-03
54.0933153629303,+2.16518645E-03
54.87621784210205,+1.99587157E-03
55.66032385826111,+2.32903823E-03
56.445279121398926,+3.02897908E-03
57.229268312454224,+1.90558612E-03
58.01223158836365,-3.65931656E-05
58.79634141921997,+2.50402214E-03
59.581207513809204,+2.37417069E-03
60.365087032318115,+1.89433378E-03
61.148380279541016,+1.23927977E-03
61.933189153671265,+3.13080191E-03
62.71635293960571,+2.91052179E-03
63.50119757652283,+9.06353616E-04
64.28437948226929,+3.10822108E-03
65.06833243370056,+9.85241877E-04
65.85213804244995,+1.36918051E-03
66.63716173171997,+2.04107457E-03
67.42058563232422,+1.58948143E-03
68.2051854133606,+3.35087033E-03
68.98832154273987,+1.85487556E-03
69.77317929267883,+1.01352212E-03
70.55635976791382,+1.65152909E-03
71.3411271572113,+2.21602639E-03
72.12438917160034,+2.35734187E-03
72.90914392471313,+1.84345016E-03
73.69213008880615,+4.12444779E-03
74.47620153427124,+1.06624365E-02
75.26114130020142,+1.87136770E-02
76.04521083831787,+2.39023787E-02
76.82898306846619,+2.48282616E-02
77.6120707988739,+2.60365385E-02
78.39711236953735,+1.98711050E-02
79.18109059333801,+1.25595882E-02
79.96497416496277,-6.82321349E-03
80.74846053123474,-3.62050478E-02
81.53219079971313,-5.76371475E-02
82.31709098815918,-5.86758696E-02
83.10035276412964,-5.01450736E-02
83.88456702232361,-4.48883323E-02
84.66909146308899,-4.10714172E-02
85.45279002189636,-3.21225742E-02
86.23641085624695,-2.86109386E-02
87.02083396911621,-2.47377295E-02
87.8049488067627,-2.24513450E-02
88.58879947662354,-2.17396943E-02
89.37321853637695,-1.92613009E-02
90.15625786781311,-1.52974403E-02
90.9409110546112,-1.38240007E-02
91.72506952285767,-1.52186901E-02
92.50852751731873,-1.27118542E-02
93.2920138835907,-9.88319094E-03
94.07698488235474,-1.08711424E-02
94.86101961135864,-1.04421209E-02
95.64506983757019,-8.99698854E-03
96.42898797988892,-7.83941856E-03
97.2121012210846,-5.77867861E-03
97.99675369262695,-3.63308606E-03
98.7800612449646,-1.57812841E-03
99.56503105163574,-2.19339001E-03
100.3490104675293,-4.88281267E-04
101.13300466537476,-2.56763529E-04
101.9170286655426,+1.96767441E-03
102.70007872581482,+2.24991688E-03
103.48413634300232,+2.90496197E-03
104.26882481575012,+1.94506728E-03
105.05295896530151,+5.02209943E-03
105.83586192131042,+5.67142062E-03
106.62093567848206,+4.93176938E-03
107.40496873855591,+5.69974785E-03
108.18896222114563,+8.94614075E-03
108.9719250202179,+8.83317598E-03
109.75696063041687,+6.83456393E-03
110.5409324169159,+1.15037467E-02
111.3248438835144,+1.05100580E-02
112.10811567306519,+1.24522725E-02
112.89202404022217,+1.15884200E-02
113.67686152458191,+1.18876633E-02
114.45996141433716,+1.22716281E-02
115.24420762062073,+1.32822315E-02
116.0288872718811,+1.25482794E-02
116.81287455558777,+1.43436889E-02
117.59659767150879,+1.55914473E-02
118.38029313087463,+1.52075222E-02
119.16401886940002,+1.40105787E-02
119.94886636734009,+1.46033948E-02
120.73284721374512,+1.72513682E-02
121.5164098739624,+1.71666810E-02
122.30085682868958,+1.79401767E-02
123.08489942550659,+1.79909905E-02
123.86813569068909,+1.65512601E-02
124.65178322792053,+1.61673402E-02
125.43679714202881,+1.72852475E-02
126.22083330154419,+1.74038065E-02
127.0040328502655,+1.70706995E-02
127.78865814208984,+1.74772058E-02
128.5718536376953,+1.76635256E-02
129.35678482055664,+1.85217103E-02
130.14086842536926,+1.91484209E-02
130.9248390197754,+2.07292905E-02
131.70788383483887,+1.96452643E-02
132.4919033050537,+1.84200841E-02
133.27583980560303,+2.08196331E-02
134.0597858428955,+2.11414440E-02
