Time,Resistance
8.344650268554688e-06,+1.36352258E-03
0.7837715148925781,+1.44817566E-03
1.5678625106811523,+1.61188241E-03
2.351869583129883,+6.52068801E-04
3.1356570720672607,+2.47574071E-03
3.9198379516601562,+3.67282817E-03
4.703835487365723,+3.15340307E-03
5.487170457839966,+2.34590240E-03
6.271978139877319,+3.24919976E-03
7.055723190307617,+2.97815055E-03
7.83961296081543,+4.93746252E-03
8.623783111572266,+2.83151070E-03
9.40783166885376,+2.41923751E-03
10.191673994064331,+1.22802783E-03
10.975746154785156,+3.90988330E-03
11.759775161743164,+2.85410617E-03
12.543736457824707,+3.32275792E-03
13.32770586013794,+5.41735450E-03
14.11174201965332,+4.26554717E-03
14.894629001617432,+4.85837072E-03
15.679745435714722,+3.67850073E-03
16.46258020401001,+3.14755662E-03
17.247719287872314,+2.96131708E-03
18.031747817993164,+1.64019512E-03
18.814855813980103,+2.88798193E-03
19.598256826400757,+1.21116430E-03
20.38266134262085,+2.94998020E-03
21.166605710983276,+2.48710807E-03
21.951655864715576,+1.51587162E-03
22.734702825546265,+1.58360539E-03
23.519726753234863,+2.99530616E-03
24.303357362747192,+3.22668274E-03
25.08760952949524,+2.73551088E-03
25.870599508285522,+3.07435073E-03
26.655698537826538,+3.61626720E-03
27.439690589904785,+1.61749560E-03
28.22364091873169,+7.81963424E-04
29.00683355331421,+2.31212393E-03
29.7916522026062,+3.58801492E-03
30.575666666030884,+3.16462229E-03
31.35856056213379,+1.97887996E-03
32.143086194992065,+1.01905574E-03
32.9267361164093,+1.82085663E-03
33.7116265296936,+1.96195096E-03
34.49564337730408,+2.02407117E-03
35.2791748046875,+2.93312723E-03
36.06347346305847,+2.79752094E-03
36.847649574279785,+1.94495356E-03
37.63161778450012,+2.71852607E-03
38.41526556015015,+2.52655296E-03
39.199461698532104,+2.34592714E-03
39.98358631134033,+2.19914505E-03
40.76760149002075,+2.32336070E-03
41.55095148086548,+2.24993499E-03
42.335519552230835,+1.30145409E-03
43.119630336761475,+2.30627247E-03
43.903589963912964,+1.97887127E-03
44.68644595146179,+1.94497242E-03
45.47145438194275,+2.65076831E-03
46.255587100982666,+3.38479580E-03
47.03956699371338,+2.92175867E-03
47.82364320755005,+2.18213320E-03
48.60746932029724,+1.91677650E-03
49.39146947860718,+2.58864650E-03
50.17553114891052,+3.71785492E-03
50.95975995063782,+3.04600372E-03
51.74324059486389,+3.90984961E-03
52.52669072151184,+2.45325087E-03
53.31141638755798,+3.31709090E-03
54.09568119049072,+2.90489602E-03
54.878570795059204,+3.08553103E-03
55.66308641433716,+3.02345325E-03
56.44754433631897,+3.88730958E-03
57.23147439956665,+1.39731133E-03
58.01540446281433,+9.9E37
58.62347865104675,+9.9E37
59.231499433517456,+9.9E37
59.85529351234436,+9.9E37
60.46352672576904,+9.9E37
61.086507081985474,+9.9E37
61.69551491737366,+9.9E37
62.31948733329773,+9.9E37
62.92660880088806,+9.9E37
63.5512969493866,+9.9E37
64.15953350067139,+9.9E37
64.78337097167969,+9.9E37
65.39149475097656,+9.9E37
66.01536154747009,+9.9E37
66.62357902526855,+9.9E37
67.24739599227905,+9.9E37
67.85484099388123,+9.9E37
68.47859025001526,+9.9E37
69.08737897872925,+9.9E37
69.71127486228943,+9.9E37
70.31937742233276,+1.81265167E+07
70.95933175086975,+9.9E37
71.56738305091858,+9.9E37
72.19128513336182,-1.55632226E-02
72.97533226013184,+1.43693239E-03
73.75945615768433,+1.80952468E-03
74.54297018051147,+2.54357092E-03
75.3264787197113,+1.43126103E-03
76.11133241653442,+2.63382018E-03
76.89538073539734,+1.00791302E-03
77.67906880378723,+2.46453444E-03
78.46331286430359,+1.21100507E-03
79.24728035926819,+6.04977356E-03
80.03056335449219,+6.29516316E-04
80.81512355804443,+6.86042889E-04
81.59908890724182,+3.57672471E-03
82.38327860832214,+2.89917517E-03
83.16726326942444,+5.64881928E-03
83.95115160942078,+7.14188746E-04
84.73521208763123,+1.03038362E-03
85.51934361457825,-3.07683281E-04
86.3032717704773,+2.96137835E-03
87.08744025230408,+2.19909617E-03
87.87052392959595,-2.10883712E-03
88.65520882606506,+9.23140430E-04
89.43914246559143,+2.17406971E-04
90.22352194786072,+3.41637749E-04
91.00624465942383,+1.47082824E-03
91.7909164428711,+2.19913183E-03
92.57533621788025,+1.90546394E-03
93.35907340049744,-3.24652572E-04
94.14325428009033,-5.36529843E-05
94.92622876167297,+1.29578193E-03
95.71042776107788,+1.08680888E-03
96.49512910842896,+2.91612836E-03
97.27924227714539,+2.50398287E-03
98.06326508522034,+2.53234631E-03
98.84727954864502,-4.54529427E-04
99.63124394416809,+3.13281627E-04
100.41522312164307,+2.11436425E-03
101.19846034049988,+7.19879877E-04
101.98327422142029,+1.41427264E-03
102.76720452308655,+1.00773202E-03
103.55027198791504,+9.56967928E-04
104.33527565002441,+1.60638428E-03
105.11876440048218,+1.14893287E-03
105.90329575538635,+2.77503759E-03
106.6861469745636,+2.41360973E-03
107.47120904922485,+1.72487763E-03
108.25509142875671,+1.83780503E-03
109.03929233551025,-6.23829783E-04
109.82220602035522,-5.67305362E-04
110.607266664505,+1.17719056E-03
111.3912582397461,+4.31843943E-04
112.17531418800354,+1.08684301E-03
112.95838522911072,+1.97026293E-05
113.74315929412842,+3.78003326E-03
114.52728271484375,+3.58802817E-03
115.31124305725098,+2.65079015E-03
116.09453439712524,+3.75384662E-04
116.87927031517029,+2.31779587E-03
117.66326355934143,+2.08050676E-03
