Time,Resistance
1.33514404296875e-05,+4.93744449E-03
0.7827303409576416,+3.05736836E-03
1.5676991939544678,+5.22541310E-03
2.3507983684539795,+7.38781898E-03
3.1361217498779297,+3.37356534E-03
3.9202117919921875,+4.25990264E-03
4.7039525508880615,+5.30444862E-03
5.488142728805542,+5.49073226E-03
6.272200584411621,+4.00011192E-03
7.056216478347778,+5.20284773E-03
7.839871883392334,+3.09690396E-03
8.624163150787354,+5.29312965E-03
9.407939910888672,+3.84216191E-03
10.19113039970398,+4.32765447E-03
10.9762282371521,+3.66142503E-03
11.760111093521118,+6.14001448E-03
12.544155836105347,+2.66762340E-03
13.32819128036499,+4.88654652E-03
14.111143827438354,+5.88028382E-03
14.896008729934692,+5.98194915E-03
15.680184125900269,+4.43496166E-03
16.46423053741455,+5.07857603E-03
17.24830389022827,+3.27750845E-03
18.032093286514282,+3.46385723E-03
18.8161358833313,+4.65519322E-03
19.599030256271362,+6.48449210E-03
20.38417100906372,+6.79501493E-03
21.168139934539795,+7.75485552E-03
21.951300859451294,+7.97493110E-03
22.736198663711548,+5.95371932E-03
23.520176649093628,+5.38347710E-03
24.30409574508667,+5.03336888E-03
25.087053775787354,+4.96004259E-03
25.872127771377563,+5.88037974E-03
26.65618133544922,+3.28877952E-03
27.440099716186523,+3.77999196E-03
28.224211931228638,+3.40737105E-03
29.00801134109497,+3.75749654E-03
29.792113542556763,+3.31138655E-03
30.576035022735596,+3.70095907E-03
31.360095977783203,+4.98259668E-03
32.14405965805054,+4.71722090E-03
32.92811608314514,+3.61063197E-03
33.71106314659119,+4.88093776E-03
34.49589490890503,+2.47587627E-03
35.28009486198425,+5.42858432E-03
36.06418466567993,+3.30569783E-03
36.84714603424072,+6.37716801E-03
37.63110589981079,+7.31439248E-03
38.41609787940979,+5.04467388E-03
39.200111627578735,+6.70464891E-03
39.98330044746399,+6.90787762E-03
40.76802182197571,+2.62826860E-03
41.55095720291138,+6.71029926E-03
42.33610272407532,+6.54658154E-03
43.119425535202026,+6.42239984E-03
43.903879165649414,+8.50568798E-03
44.68812608718872,+3.83079029E-03
45.47212195396423,+5.11806890E-03
46.255545139312744,+8.67506637E-03
47.04004979133606,+5.91984184E-03
47.824090003967285,+5.58668127E-03
48.607266664505005,+4.28806228E-03
49.391552209854126,+5.18585616E-03
50.175673961639404,+5.65447029E-03
50.95995593070984,+5.30452439E-03
51.7441828250885,+4.79625732E-03
52.52777576446533,+4.30510346E-03
53.31108355522156,+6.75539985E-03
54.0959529876709,+4.22600932E-03
54.87918996810913,+3.73483367E-03
55.66386938095093,+4.78496767E-03
56.44802904129028,+5.79561930E-03
57.23109793663025,+3.75743535E-03
58.015005588531494,+3.65585415E-03
58.800028800964355,+4.45189991E-03
59.58408188819885,+4.51399069E-03
60.36766266822815,+4.79069626E-03
61.15205359458923,+3.05164584E-03
61.93592572212219,+5.58118230E-03
62.719396352767944,+3.55975157E-03
63.50408387184143,+6.57474718E-03
64.2876627445221,+1.13230298E-02
65.07104063034058,+6.38850853E-03
65.85595798492432,+9.34693316E-03
66.63888716697693,+5.10675435E-03
67.42402458190918,+6.76668178E-03
68.20819354057312,+4.18089125E-03
68.99198055267334,+2.48144870E-03
69.77599859237671,+4.03405735E-03
70.56003546714783,+7.46686913E-03
71.34407258033752,+6.72158654E-03
72.12799334526062,+4.35589986E-03
72.91124296188354,+4.88099273E-03
73.69582509994507,+4.98825915E-03
74.48004126548767,+5.11813657E-03
75.2625994682312,+6.62558846E-03
76.04796934127808,+8.00318964E-03
76.83196091651917,+8.48317719E-03
77.6159348487854,+6.82888055E-03
78.39990496635437,+9.31309410E-03
79.18287324905396,+7.12249966E-03
79.96797943115234,+9.74786074E-03
80.75196886062622,+9.48811431E-03
81.53498601913452,+5.74478884E-03
82.31995606422424,+4.75110708E-03
83.10403728485107,+4.88094391E-03
83.88771867752075,+4.77369147E-03
84.6708812713623,+5.11246995E-03
85.45598793029785,+4.91481017E-03
86.23993730545044,+6.07225405E-03
87.02285361289978,+9.84950443E-03
87.80703330039978,+7.60238987E-03
88.5919418334961,+5.44556726E-03
89.37592506408691,+5.09562318E-03
90.15996670722961,+5.88596905E-03
90.94319295883179,+8.83315326E-03
91.7277889251709,+5.27047415E-03
92.51193737983704,+2.69030582E-03
93.29596614837646,+3.30006285E-03
94.07919239997864,+5.50779161E-03
94.86394739151001,+3.42434392E-03
95.64797163009644,+3.75744644E-03
96.43194198608398,+4.43497454E-03
97.21540713310242,+4.76802247E-03
97.9988169670105,+4.13004655E-03
98.78305435180664,+6.20220490E-03
99.56679272651672,+2.83150302E-03
100.35152101516724,+5.38908840E-03
101.13592171669006,+3.32827849E-03
101.91989398002625,+5.47384255E-03
102.7039213180542,+6.53528669E-03
103.48762154579163,+5.85213523E-03
104.27080869674683,+4.83577637E-03
105.05475997924805,+4.80190685E-03
105.83982586860657,+7.39906332E-03
106.6237440109253,+1.31410692E-02
107.40686249732971,+7.60234526E-03
108.19181609153748,+6.71030336E-03
108.9758529663086,+6.79498972E-03
109.7598340511322,+9.43159089E-03
110.54337191581726,+6.10050789E-03
111.32772469520569,+6.46187491E-03
112.11059761047363,+4.19214904E-03
112.8959493637085,+5.28187661E-03
113.67979645729065,+4.95438332E-03
114.46379828453064,+1.32201437E-02
115.24673843383789,+9.05341508E-03
116.03072905540466,+1.32088275E-02
116.8158073425293,+9.35261879E-03
117.59983110427856,+1.37734119E-02
118.38381814956665,+1.20513910E-02
119.16796803474426,+9.82690627E-03
119.95175623893738,+1.41686592E-02
120.73580813407898,+1.22603195E-02
121.519864320755,+1.35306582E-02
122.30300569534302,+1.50833196E-02
123.08767127990723,+1.42533609E-02
123.87182831764221,+1.70424640E-02
124.6557343006134,+1.08600809E-02
125.43980956077576,+1.14416072E-02
126.22370338439941,+1.52300944E-02
127.00782680511475,+8.88398720E-03
127.79101157188416,+1.04422860E-02
128.57475805282593,+9.13807691E-03
129.35885190963745,+9.87765767E-03
130.14377093315125,+6.03838661E-03
130.92784237861633,+7.86769486E-03
131.71180701255798,+7.80562484E-03
132.49468326568604,+8.72027181E-03
133.27980160713196,+7.00948347E-03
134.06379508972168,+7.52900428E-03
