Time,Current,Voltage,Resistance
0.0,1.06515893e-05,6.13437384e-09,0.000575911600346814
0.7548329830169678,1.07132038e-05,1.15625527e-09,0.00010792805696462154
1.5276248455047607,1.0523061e-05,-7.69376193e-09,-0.0007311334534694802
2.272960901260376,1.08974349e-05,8.90205553e-09,0.0008168945822287041
3.025212526321411,1.03553324e-05,-5.02448879e-10,-4.852078712606077e-05
3.776597261428833,9.77965359e-06,2.27301839e-08,0.0023242320078946683
4.528616189956665,1.05173883e-05,6.0280444e-10,5.7315031337199934e-05
5.2789998054504395,1.04391904e-05,1.11133719e-08,0.0010645817802116147
6.032634258270264,9.5839505e-06,-1.1565668e-08,-0.0012067745967594468
6.784753084182739,1.10763491e-05,6.04218004e-10,5.4550285346278945e-05
7.536616563796997,1.02995561e-05,2.81687133e-09,0.00027349444021184565
8.288618803024292,1.08191963e-05,-1.59909067e-08,-0.0014780124379479092
9.041807174682617,1.0685069e-05,-2.71440258e-09,-0.0002540369725268035
9.79309630393982,1.13502231e-05,-9.3536835e-09,-0.0008240968849325967
10.545229434967041,1.13669808e-05,4.47581198e-09,0.00039375556788131465
11.297302007675171,1.13335215e-05,-4.92692937e-09,-0.0004347218443976129
12.049034833908081,1.15739313e-05,-4.92847226e-09,-0.00042582525610809524
12.800592422485352,1.16576487e-05,6.04513794e-10,5.1855550768140754e-05
13.55276107788086,1.16297316e-05,1.0560263e-08,0.0009080401305220148
14.304672956466675,1.14341681e-05,5.58246881e-09,0.00048822693187447545
15.056625366210938,1.13893516e-05,-3.82105617e-09,-0.00033549374048650845
15.808651208877563,1.19037392e-05,1.15691804e-09,9.718946463477626e-05
16.560792207717896,1.16577273e-05,1.44323682e-08,0.0012380087326283571
17.312731504440308,1.18869003e-05,1.55394329e-08,0.0013072737642125256
18.06620955467224,1.2015395e-05,2.21769917e-08,0.001845714743460369
18.81663942337036,1.24233955e-05,-3.82087909e-09,-0.00030755513579198214
19.568389177322388,1.1931525e-05,-1.05672512e-09,-8.856580529312053e-05
20.32194185256958,1.21328063e-05,2.66023219e-08,0.002192594297001181
21.071094751358032,1.24513526e-05,1.44332617e-08,0.001159172193067603
21.824180841445923,1.23731517e-05,8.34804964e-09,0.0006746906400573752
22.56691026687622,1.29544943e-05,1.83053445e-08,0.001413049716653162
23.30269169807434,1.1819756e-05,1.71009945e-09,0.0001446814511230181
24.038781881332397,1.3004759e-05,2.2177145e-08,0.0017053099561475918
24.774932146072388,1.30158855e-05,1.11141224e-08,0.000853889072702737
25.52022671699524,1.18589986e-05,-9.90634634e-09,-0.0008353442541092803
26.270743131637573,1.2305996e-05,6.13608788e-09,0.0004986258633596176
27.02450203895569,1.31947338e-05,5.58205059e-09,0.00042305139873303083
27.776756286621094,1.34854416e-05,-1.05490141e-09,-7.822520324436392e-05
28.52877688407898,1.2825946e-05,2.49437854e-08,0.0019447910820769088
29.279316663742065,1.23620708e-05,-1.32251165e-08,-0.0010698140072130957
30.031286478042603,1.29766819e-05,-4.3739319e-09,-0.00033706088611141805
30.775314331054688,1.27532602e-05,-4.37499356e-09,-0.00034304903149392336
31.51136803627014,1.32953777e-05,3.92325019e-09,0.00029508377110640493
32.24672031402588,1.39662263e-05,1.33261992e-08,0.0009541732257338549
32.98325324058533,1.33459216e-05,5.0287954e-09,0.00037680390689542187
33.719438552856445,1.29432204e-05,1.27739318e-08,0.0009869206739305776
34.46478319168091,1.32171475e-05,6.1345607e-09,0.0004641365090311657
35.217167139053345,1.26022939e-05,6.13568068e-09,0.0004868701467119411
35.969266414642334,1.33625112e-05,2.2631698e-09,0.00016936710219558134
36.72069334983826,1.36979778e-05,1.16682357e-08,0.0008518217703637978
37.47113394737244,1.32395027e-05,6.13572866e-09,0.0004634410218444232
38.22274708747864,1.34687548e-05,1.88583968e-08,0.001400158892193954
38.97474265098572,1.39830699e-05,1.44332278e-08,0.001032193066559726
39.72711110115051,1.3971666e-05,4.47660942e-09,0.0003204062722369687
40.48062610626221,1.27308717e-05,5.02910632e-09,0.0003950323621594584
41.2331759929657,1.29321422e-05,7.24240403e-09,0.0005600312707665711
41.984737157821655,1.37927223e-05,7.24194531e-09,0.0005250555439661103
42.73481893539429,1.44581366e-05,-2.71459854e-09,-0.00018775576791825303
43.48813343048096,1.38153137e-05,2.05183978e-08,0.0014851923195924246
44.240519523620605,1.3368116e-05,-5.02671509e-10,-3.7602270132904296e-05
44.992486238479614,1.42343735e-05,7.7960285e-09,0.0005476903145754887
45.744065284729004,1.33624436e-05,4.4754657e-09,0.00033492868774390936
46.496416330337524,1.36194418e-05,-1.70975636e-08,-0.0012553791742037474
47.247925996780396,1.26470223e-05,1.99648162e-08,0.0015786179328552304
47.997634410858154,1.2753151e-05,2.38369797e-08,0.0018691051097881614
48.750993728637695,1.43238628e-05,1.71988232e-08,0.0012007112494822276
49.50447630882263,1.38375067e-05,8.34674662e-09,0.0006031972956515352
50.24692893028259,1.47095244e-05,1.88577472e-08,0.0012820093082003385
50.99261927604675,1.28371592e-05,6.04981756e-10,4.7127385940652664e-05
51.74452471733093,1.2507345e-05,2.77078342e-08,0.0022153250110235226
52.49643111228943,1.363629e-05,1.71984897e-08,0.0012612293886386985
53.24897861480713,1.30885183e-05,-5.01482235e-10,-3.831466813168608e-05
54.00065732002258,1.2216568e-05,-2.71514433e-09,-0.00022225098980335555
54.744734048843384,1.27363897e-05,1.00081367e-08,0.0007857907095917456
55.48837637901306,1.37257871e-05,1.38819256e-08,0.0010113755589287845
56.240246534347534,1.31276964e-05,4.47587576e-09,0.0003409490609487282
