DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.707312500E-2,1.951875114E1,-1.451250076E1,-1.655625000E2,1.673395821E2
3.707312500E-2,1.959375000E1,-1.479375076E1,-1.654875031E2,1.672987859E2
4.707312500E-2,1.970625114E1,-1.473750019E1,-1.650937500E2,1.669175741E2
5.707312500E-2,1.957500076E1,-1.498125076E1,-1.648312531E2,1.666642149E2
6.707312500E-2,1.936875153E1,-1.511250019E1,-1.645125122E2,1.663367153E2
7.707312500E-2,1.923750114E1,-1.520625019E1,-1.643062592E2,1.661260314E2
8.707312500E-2,1.936875153E1,-1.533750057E1,-1.643812561E2,1.662275092E2
9.707312500E-2,1.931250000E1,-1.537500095E1,-1.643812561E2,1.662244286E2
1.070731250E-1,1.923750114E1,-1.550625038E1,-1.643437500E2,1.661908343E2
1.170731250E-1,1.927500153E1,-1.550625038E1,-1.643062592E2,1.661581063E2
1.270731250E-1,1.916250038E1,-1.558125019E1,-1.642875061E2,1.661335651E2
1.370731250E-1,1.936875153E1,-1.535625076E1,-1.642875061E2,1.661365331E2
1.470731250E-1,1.938750076E1,-1.539375019E1,-1.644937592E2,1.663461437E2
1.570731250E-1,1.955625153E1,-1.531875038E1,-1.647187500E2,1.665814446E2
1.670731250E-1,1.935000038E1,-1.522500038E1,-1.648125000E2,1.666414814E2
1.770731250E-1,1.944375038E1,-1.518750095E1,-1.647937622E2,1.666304404E2
1.870731250E-1,1.957500076E1,-1.515000057E1,-1.648312531E2,1.666794683E2
1.970731250E-1,1.965000153E1,-1.516875076E1,-1.647562561E2,1.666158380E2
2.070731250E-1,1.963125038E1,-1.522500038E1,-1.648500061E2,1.667114607E2
2.170731250E-1,1.951875114E1,-1.533750057E1,-1.648312531E2,1.666900194E2
2.270731250E-1,1.933125114E1,-1.537500095E1,-1.647375031E2,1.665789087E2
2.370731250E-1,1.912500000E1,-1.533750057E1,-1.645125122E2,1.663291052E2
2.470731250E-1,1.920000076E1,-1.543125057E1,-1.645125122E2,1.663464162E2
2.570731250E-1,1.899375153E1,-1.560000038E1,-1.645875092E2,1.664126521E2
2.670731250E-1,1.899375153E1,-1.563750076E1,-1.645125122E2,1.663419992E2
2.770731250E-1,1.895625114E1,-1.576875019E1,-1.645500031E2,1.663871883E2
2.870731250E-1,1.888125038E1,-1.576875019E1,-1.647937622E2,1.666197442E2
2.970731250E-1,1.876875114E1,-1.575000095E1,-1.650937500E2,1.669019917E2
3.070731250E-1,1.901250076E1,-1.567500019E1,-1.652437592E2,1.670708854E2
3.170731250E-1,1.916250038E1,-1.576875019E1,-1.655250092E2,1.673749789E2
3.270731250E-1,1.920000076E1,-1.575000095E1,-1.653187561E2,1.671735436E2
3.370731250E-1,1.931250000E1,-1.558125019E1,-1.653562622E2,1.672077793E2
3.470731250E-1,1.921875000E1,-1.578750038E1,-1.655062561E2,1.673646508E2
3.570731250E-1,1.914375114E1,-1.571250057E1,-1.653562622E2,1.672006559E2
3.670731250E-1,1.920000076E1,-1.578750038E1,-1.650750122E2,1.669360502E2
3.770731250E-1,1.935000038E1,-1.599375057E1,-1.647750092E2,1.666764117E2
3.870731250E-1,1.940625000E1,-1.610625076E1,-1.646625061E2,1.665825764E2
