"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.356505200E-2,1.537500095E1,-1.342500019E1,-1.100437546E2,1.119207273E2
3.356505200E-2,1.548750019E1,-1.263750076E1,-1.110375061E2,1.128224129E2
4.356505200E-2,1.515000057E1,-1.305000019E1,-1.113750076E2,1.131557217E2
5.356505200E-2,1.507500076E1,-1.291875076E1,-1.113562546E2,1.131121797E2
6.356505200E-2,1.537500095E1,-1.290000057E1,-1.113937531E2,1.131873177E2
7.356505200E-2,1.537500095E1,-1.305000019E1,-1.112250061E2,1.130384675E2
8.356505200E-2,1.533750057E1,-1.295625019E1,-1.113562546E2,1.131517511E2
9.356505200E-2,1.531875038E1,-1.291875076E1,-1.115625076E2,1.133479217E2
1.035650520E-1,1.556250095E1,-1.293750095E1,-1.118062515E2,1.136230973E2
1.135650520E-1,1.567500019E1,-1.301250076E1,-1.119375076E2,1.137762560E2
1.235650520E-1,1.591875076E1,-1.282500076E1,-1.120500031E2,1.138994752E2
1.335650520E-1,1.601250076E1,-1.305000019E1,-1.120500031E2,1.139381669E2
1.435650520E-1,1.590000057E1,-1.312500095E1,-1.121250076E2,1.140047938E2
1.535650520E-1,1.586250019E1,-1.318125057E1,-1.123687515E2,1.142457903E2
1.635650520E-1,1.586250019E1,-1.344375038E1,-1.122562561E2,1.141657583E2
1.735650520E-1,1.591875076E1,-1.346250057E1,-1.120875015E2,1.140098835E2
1.835650520E-1,1.545000076E1,-1.340625095E1,-1.117875061E2,1.136436387E2
1.935650520E-1,1.518750095E1,-1.336875057E1,-1.115625076E2,1.133824360E2
2.035650520E-1,1.528125095E1,-1.344375038E1,-1.115625076E2,1.134038984E2
2.135650520E-1,1.535625076E1,-1.312500095E1,-1.118062515E2,1.136165391E2
2.235650520E-1,1.511250019E1,-1.305000019E1,-1.115437546E2,1.133168097E2
2.335650520E-1,1.500000095E1,-1.295625019E1,-1.115437546E2,1.132911013E2
2.435650520E-1,1.505625057E1,-1.282500076E1,-1.116187515E2,1.133574745E2
2.535650520E-1,1.509375095E1,-1.286250019E1,-1.117125015E2,1.134590156E2
2.635650520E-1,1.541250038E1,-1.290000057E1,-1.119375076E2,1.137275727E2
2.735650520E-1,1.554375076E1,-1.335000038E1,-1.121437531E2,1.140002283E2
2.835650520E-1,1.533750057E1,-1.359375095E1,-1.120687561E2,1.139273237E2
2.935650520E-1,1.511250019E1,-1.383750057E1,-1.116937561E2,1.135577353E2
3.035650520E-1,1.558125019E1,-1.385625076E1,-1.118437576E2,1.137708098E2
3.135650520E-1,1.584375095E1,-1.368750095E1,-1.118250046E2,1.137682020E2
3.235650520E-1,1.580625057E1,-1.372500038E1,-1.116937561E2,1.136384985E2
3.335650520E-1,1.573125076E1,-1.372500038E1,-1.116562576E2,1.135912310E2
3.435650520E-1,1.563750076E1,-1.372500038E1,-1.117875061E2,1.137073154E2
3.535650520E-1,1.563750076E1,-1.353750038E1,-1.116000061E2,1.135004701E2
3.635650520E-1,1.552500057E1,-1.316250038E1,-1.116000061E2,1.134409028E2
3.735650520E-1,1.586250019E1,-1.306875038E1,-1.118812561E2,1.137533587E2
3.835650520E-1,1.569375038E1,-1.310625076E1,-1.116937561E2,1.135498250E2
3.935650520E-1,1.556250095E1,-1.327500057E1,-1.116375046E2,1.134960330E2
4.035650520E-1,1.546875095E1,-1.314375019E1,-1.117687531E2,1.135970712E2
4.135650520E-1,1.556250095E1,-1.308750057E1,-1.118062515E2,1.136402745E2
4.235650520E-1,1.567500019E1,-1.318125057E1,-1.117687531E2,1.136296843E2
4.335650520E-1,1.580625057E1,-1.310625076E1,-1.117875061E2,1.136576345E2
4.435650520E-1,1.576875019E1,-1.310625076E1,-1.116000061E2,1.134680072E2
4.535650520E-1,1.576875019E1,-1.318125057E1,-1.115437546E2,1.134213738E2
4.635650520E-1,1.593750095E1,-1.310625076E1,-1.118812561E2,1.137681555E2
4.735650520E-1,1.605000114E1,-1.293750095E1,-1.119187546E2,1.138015338E2
4.835650520E-1,1.610625076E1,-1.306875038E1,-1.118625031E2,1.137691660E2
4.935650520E-1,1.605000114E1,-1.323750019E1,-1.117687531E2,1.136885575E2
5.035650520E-1,1.576875019E1,-1.312500095E1,-1.117312546E2,1.135992622E2
5.135650520E-1,1.565625095E1,-1.321875095E1,-1.116375046E2,1.135023612E2
5.235650520E-1,1.571250057E1,-1.336875057E1,-1.119750061E2,1.138595984E2
5.335650520E-1,1.545000076E1,-1.333125019E1,-1.119750061E2,1.138192723E2
5.435650520E-1,1.531875038E1,-1.355625057E1,-1.118062515E2,1.136621042E2
5.535650520E-1,1.530000019E1,-1.378125095E1,-1.119000015E2,1.137788347E2
5.635650520E-1,1.533750057E1,-1.387500095E1,-1.119562531E2,1.138505914E2
5.735650520E-1,1.524375057E1,-1.381875038E1,-1.120500031E2,1.139233645E2
5.835650520E-1,1.554375076E1,-1.393125057E1,-1.120875015E2,1.140144549E2
5.935650520E-1,1.545000076E1,-1.370625019E1,-1.123312531E2,1.142141595E2
6.035650520E-1,1.565625095E1,-1.378125095E1,-1.121812515E2,1.141037873E2
6.135650520E-1,1.575000095E1,-1.385625076E1,-1.122750015E2,1.142179241E2
6.235650520E-1,1.571250057E1,-1.370625019E1,-1.123687515E2,1.142868334E2
6.335650520E-1,1.571250057E1,-1.357500076E1,-1.123687515E2,1.142711671E2
6.435650520E-1,1.601250076E1,-1.336875057E1,-1.123875046E2,1.143069327E2
6.535650520E-1,1.610625076E1,-1.336875057E1,-1.125187531E2,1.144491354E2
6.635650520E-1,1.578750038E1,-1.344375038E1,-1.124250031E2,1.143213056E2
6.735650520E-1,1.591875076E1,-1.338750076E1,-1.121250076E2,1.140379285E2
6.835650520E-1,1.576875019E1,-1.346250057E1,-1.119187546E2,1.138231085E2
6.935650520E-1,1.567500019E1,-1.353750038E1,-1.116937561E2,1.135978200E2
7.035650520E-1,1.565625095E1,-1.366875076E1,-1.115062561E2,1.134266199E2
7.135650520E-1,1.565625095E1,-1.363125038E1,-1.113375015E2,1.132562070E2
7.235650520E-1,1.543125057E1,-1.381875038E1,-1.113375015E2,1.132480490E2
7.335650520E-1,1.546875095E1,-1.385625076E1,-1.111687546E2,1.130918650E2
7.435650520E-1,1.563750076E1,-1.391250038E1,-1.113562546E2,1.133062422E2
7.535650520E-1,1.533750057E1,-1.421250057E1,-1.114875031E2,1.134314658E2
7.635650520E-1,1.530000019E1,-1.404375076E1,-1.117875061E2,1.137003231E2
7.735650520E-1,1.548750019E1,-1.400625038E1,-1.117312546E2,1.136657862E2
