DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.850652600E-2,3.189375114E1,-8.306250572E0,-1.423687592E2,1.461337358E2
2.850652600E-2,3.150000191E1,-8.606250763E0,-1.427812500E2,1.464677542E2
3.850652600E-2,3.114375114E1,-8.025000572E0,-1.429875031E2,1.465597486E2
4.850652600E-2,3.061875153E1,-8.100000381E0,-1.431937561E2,1.466545933E2
5.850652600E-2,3.061875153E1,-7.687500477E0,-1.428375092E2,1.462845160E2
6.850652600E-2,3.052500153E1,-7.725000381E0,-1.429875031E2,1.464133784E2
7.850652600E-2,3.048750114E1,-7.762500286E0,-1.427625122E2,1.461878211E2
8.850652600E-2,3.035625076E1,-7.725000381E0,-1.427062531E2,1.461035669E2
9.850652600E-2,3.005625153E1,-7.687500477E0,-1.426875000E2,1.460212265E2
1.085065260E-1,2.985000038E1,-7.593750477E0,-1.425562592E2,1.458457219E2
1.185065260E-1,2.973750114E1,-7.612500191E0,-1.424062500E2,1.456770715E2
1.285065260E-1,2.998125076E1,-7.631250381E0,-1.422562561E2,1.455814335E2
1.385065260E-1,2.992500114E1,-7.856250286E0,-1.426125031E2,1.459299571E2
1.485065260E-1,2.990625191E1,-7.931250095E0,-1.425562592E2,1.458752058E2
1.585065260E-1,2.983125114E1,-7.781250477E0,-1.428375092E2,1.461266760E2
1.685065260E-1,2.988750076E1,-7.706250191E0,-1.428750000E2,1.461708405E2
1.785065260E-1,2.998125076E1,-7.612500191E0,-1.429875031E2,1.462950839E2
1.885065260E-1,3.007500076E1,-7.575000286E0,-1.431187592E2,1.464406553E2
1.985065260E-1,3.026250076E1,-7.575000286E0,-1.434000092E2,1.467540875E2
2.085065260E-1,3.016875076E1,-7.612500191E0,-1.434562531E2,1.467916899E2
2.185065260E-1,3.007500076E1,-7.612500191E0,-1.430812531E2,1.464059453E2
2.285065260E-1,3.022500038E1,-7.462500095E0,-1.428750000E2,1.462275801E2
2.385065260E-1,3.035625076E1,-7.518750191E0,-1.427250061E2,1.461111253E2
2.485065260E-1,3.045000076E1,-7.575000286E0,-1.426687622E2,1.460786052E2
2.585065260E-1,3.037500191E1,-7.631250381E0,-1.426500092E2,1.460476013E2
2.685065260E-1,3.031875038E1,-7.631250381E0,-1.425187531E2,1.459077023E2
2.785065260E-1,3.026250076E1,-7.593750477E0,-1.423875122E2,1.457658658E2
2.885065260E-1,3.016875076E1,-7.462500095E0,-1.423125000E2,1.456663657E2
2.985065260E-1,3.013125038E1,-7.631250381E0,-1.425187531E2,1.458688562E2
3.085065260E-1,3.007500076E1,-7.650000095E0,-1.424437561E2,1.457849506E2
3.185065260E-1,3.003750038E1,-7.856250286E0,-1.423125000E2,1.456599456E2
3.285065260E-1,2.994375038E1,-7.668750286E0,-1.423687592E2,1.456856256E2
3.385065260E-1,3.016875076E1,-7.743750095E0,-1.424062500E2,1.457726285E2
3.485065260E-1,3.020625114E1,-7.781250477E0,-1.425375061E2,1.459106100E2
3.585065260E-1,3.039375114E1,-7.950000286E0,-1.424062500E2,1.458304586E2
3.685065260E-1,3.033750153E1,-7.800000191E0,-1.426312561E2,1.460304051E2
3.785065260E-1,3.052500153E1,-7.500000477E0,-1.424250031E2,1.458523473E2
3.885065260E-1,3.056250191E1,-7.518750191E0,-1.426687622E2,1.460991918E2
3.985065260E-1,3.056250191E1,-7.275000095E0,-1.428375092E2,1.462516536E2
4.085065260E-1,3.043125153E1,-7.518750191E0,-1.427250061E2,1.461267260E2
4.185065260E-1,3.050625038E1,-7.406250477E0,-1.425750122E2,1.459901297E2
4.285065260E-1,3.041250038E1,-7.462500095E0,-1.424062500E2,1.458086044E2
4.385065260E-1,3.022500038E1,-7.425000191E0,-1.422562561E2,1.456211649E2
4.485065260E-1,3.020625114E1,-7.612500191E0,-1.418625031E2,1.452423407E2
4.585065260E-1,3.031875038E1,-7.818750381E0,-1.419750061E2,1.453865944E2
4.685065260E-1,3.031875038E1,-7.818750381E0,-1.419750061E2,1.453865944E2
4.785065260E-1,3.018750191E1,-8.118750572E0,-1.418812561E2,1.452841706E2
4.885065260E-1,3.050625038E1,-8.043750763E0,-1.418062592E2,1.452733574E2
4.985065260E-1,3.033750153E1,-8.100000381E0,-1.419375000E2,1.453692812E2
5.085065260E-1,3.058125114E1,-7.687500477E0,-1.420875092E2,1.455443947E2
5.185065260E-1,3.054375076E1,-7.687500477E0,-1.422750092E2,1.457195821E2
5.285065260E-1,3.073125076E1,-7.725000381E0,-1.425000000E2,1.459805994E2
5.385065260E-1,3.048750114E1,-7.781250477E0,-1.423500061E2,1.457860070E2
5.485065260E-1,3.041250038E1,-7.725000381E0,-1.421437531E2,1.455659381E2
5.585065260E-1,3.045000076E1,-7.631250381E0,-1.421812592E2,1.456054566E2
5.685065260E-1,3.026250076E1,-7.706250191E0,-1.422375031E2,1.456252468E2
5.785065260E-1,3.009375191E1,-7.593750477E0,-1.421812592E2,1.455294108E2
5.885065260E-1,2.985000038E1,-7.987500191E0,-1.420875092E2,1.454086756E2
5.985065260E-1,2.975625038E1,-7.987500191E0,-1.419562531E2,1.452611868E2
6.085065260E-1,2.975625038E1,-8.025000572E0,-1.418812561E2,1.451899649E2
6.185065260E-1,2.990625191E1,-7.800000191E0,-1.419750061E2,1.453001248E2
