MAGNET_DISTANCE=10
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.086548800E-2,1.018125057E1,-6.093750477E0,9.043125153E1,9.120637538E1
4.086548800E-2,1.001250076E1,-6.243750095E0,9.058125305E1,9.134658172E1
5.086548800E-2,1.027500057E1,-6.243750095E0,9.058125305E1,9.137572684E1
6.086548800E-2,1.029375076E1,-5.868750095E0,9.041250610E1,9.118566111E1
7.086548800E-2,1.027500057E1,-5.831250191E0,9.031875610E1,9.108818156E1
8.086548800E-2,1.035000038E1,-6.075000286E0,9.018750000E1,9.098248893E1
9.086548800E-2,1.050000000E1,-6.093750477E0,9.009375000E1,9.090801716E1
1.008654880E-1,1.048125076E1,-6.112500191E0,9.015000153E1,9.096286083E1
1.108654880E-1,1.055625057E1,-6.037500381E0,9.020625305E1,9.102227160E1
1.208654880E-1,1.059375000E1,-6.000000000E0,9.020625305E1,9.102414860E1
1.308654880E-1,1.061250019E1,-5.887500286E0,9.018750000E1,9.100040097E1
1.408654880E-1,1.068750000E1,-5.962500095E0,9.026250458E1,9.108838453E1
1.508654880E-1,1.081875038E1,-5.962500095E0,9.026250458E1,9.110387752E1
1.608654880E-1,1.089375019E1,-5.756250381E0,9.033750153E1,9.117385806E1
1.708654880E-1,1.083750057E1,-5.981250286E0,9.026250458E1,9.110733508E1
1.808654880E-1,1.076250076E1,-6.056250095E0,9.016875458E1,9.101051527E1
1.908654880E-1,1.068750000E1,-6.131250381E0,8.992500305E1,9.076519741E1
2.008654880E-1,1.068750000E1,-6.206250191E0,8.977500153E1,9.062169220E1
2.108654880E-1,1.048125076E1,-6.262500286E0,8.970000458E1,9.052715807E1
2.208654880E-1,1.027500057E1,-6.412500381E0,8.966250610E1,9.047685228E1
2.308654880E-1,1.010625076E1,-6.431250095E0,8.977500153E1,9.057068058E1
2.408654880E-1,1.012500000E1,-6.450000286E0,8.971875000E1,9.051835300E1
2.508654880E-1,9.937500000E0,-6.150000095E0,8.992500305E1,9.068121405E1
2.608654880E-1,9.881250381E0,-5.868750095E0,9.003750610E1,9.076802213E1
2.708654880E-1,9.918750763E0,-5.812500000E0,9.016875458E1,9.089868577E1
2.808654880E-1,9.900000572E0,-5.756250381E0,9.022500610E1,9.094886561E1
2.908654880E-1,1.010625076E1,-5.831250191E0,9.031875610E1,9.106930047E1
3.008654880E-1,1.033125019E1,-5.718750000E0,9.043125153E1,9.119895879E1
3.108654880E-1,1.042500019E1,-5.812500000E0,9.031875610E1,9.110402565E1
3.208654880E-1,1.031250000E1,-5.887500286E0,9.043125153E1,9.120757407E1
3.308654880E-1,1.038750076E1,-6.093750477E0,9.043125153E1,9.122962907E1
3.408654880E-1,1.042500019E1,-6.318750381E0,9.050625610E1,9.132354367E1
3.508654880E-1,1.016250038E1,-6.431250095E0,9.043125153E1,9.122745554E1
3.608654880E-1,1.014375019E1,-6.450000286E0,9.033750153E1,9.113376078E1
3.708654880E-1,9.956250191E0,-6.337500095E0,9.041250610E1,9.117955958E1
3.808654880E-1,9.956250191E0,-6.468750477E0,9.028125000E1,9.105863909E1
3.908654880E-1,9.900000572E0,-6.506250381E0,9.037500000E1,9.114813180E1
4.008654880E-1,9.881250381E0,-6.675000191E0,9.041250610E1,9.119548233E1
4.108654880E-1,9.937500000E0,-6.581250191E0,9.030000305E1,9.108324386E1
4.208654880E-1,1.014375019E1,-6.487500191E0,9.013125610E1,9.093198916E1
4.308654880E-1,1.035000038E1,-6.562500477E0,9.018750000E1,9.101633961E1
4.408654880E-1,1.038750076E1,-6.562500477E0,9.037500000E1,9.120639895E1
4.508654880E-1,1.051875019E1,-6.693750381E0,9.043125153E1,9.128670030E1
4.608654880E-1,1.044375038E1,-6.581250191E0,9.045000458E1,9.128848834E1
4.708654880E-1,1.053750038E1,-6.393750191E0,9.031875610E1,9.115589207E1
4.808654880E-1,1.042500019E1,-6.112500191E0,9.009375000E1,9.090064398E1
4.908654880E-1,1.040625000E1,-6.131250381E0,9.003750610E1,9.084401343E1
5.008654880E-1,1.033125019E1,-6.131250381E0,9.013125610E1,9.092838000E1
5.108654880E-1,1.046250057E1,-5.887500286E0,8.998125458E1,9.077859193E1
5.208654880E-1,1.046250057E1,-6.037500381E0,9.009375000E1,9.089994014E1
5.308654880E-1,1.051875019E1,-6.131250381E0,9.000000000E1,9.081980146E1
5.408654880E-1,1.061250019E1,-6.225000381E0,9.000000000E1,9.083708378E1
5.508654880E-1,1.042500019E1,-6.337500095E0,8.986875153E1,9.069309256E1
5.608654880E-1,1.048125076E1,-6.562500477E0,9.001875305E1,9.086417848E1
5.708654880E-1,1.050000000E1,-6.543750286E0,9.013125610E1,9.097644747E1
5.808654880E-1,1.044375038E1,-6.675000191E0,9.000000000E1,9.084947743E1
5.908654880E-1,1.031250000E1,-6.918750286E0,9.031875610E1,9.116849492E1
6.008654880E-1,1.033125019E1,-6.693750381E0,9.013125610E1,9.096804027E1
6.108654880E-1,1.020000076E1,-6.600000381E0,8.996250153E1,9.077913693E1
6.208654880E-1,1.033125019E1,-6.562500477E0,9.005625153E1,9.088415474E1
6.308654880E-1,1.025625038E1,-6.581250191E0,9.020625305E1,9.102566460E1
6.408654880E-1,1.029375076E1,-6.712500095E0,9.033750153E1,9.116952969E1
6.508654880E-1,1.040625000E1,-6.600000381E0,9.037500000E1,9.121124201E1
6.608654880E-1,1.038750076E1,-6.618750095E0,9.035625458E1,9.119188981E1
6.708654880E-1,1.063125038E1,-6.468750477E0,9.011250305E1,9.096774936E1
6.808654880E-1,1.061250019E1,-6.712500095E0,9.018750000E1,9.105749818E1
6.908654880E-1,1.063125038E1,-6.731250286E0,9.024375153E1,9.111678168E1
7.008654880E-1,1.036875057E1,-6.768750191E0,8.998125458E1,9.082925268E1
7.108654880E-1,1.044375038E1,-6.750000477E0,9.013125610E1,9.098504138E1
7.208654880E-1,1.033125019E1,-6.543750286E0,8.998125458E1,9.080848845E1
7.308654880E-1,1.020000076E1,-6.637500286E0,8.994375610E1,9.076329483E1
7.408654880E-1,1.018125057E1,-6.618750095E0,8.990625000E1,9.072265155E1
7.508654880E-1,1.010625076E1,-6.637500286E0,9.000000000E1,9.080854979E1
7.608654880E-1,1.025625038E1,-6.450000286E0,8.992500305E1,9.073752999E1
7.708654880E-1,1.038750076E1,-6.543750286E0,8.996250153E1,9.079632438E1
7.808654880E-1,1.051875019E1,-6.543750286E0,9.000000000E1,9.084858157E1
7.908654880E-1,1.068750000E1,-6.543750286E0,9.000000000E1,9.086827457E1
8.008654880E-1,1.078125000E1,-6.468750477E0,8.996250153E1,9.083684145E1
8.108654880E-1,1.091250038E1,-6.506250381E0,8.986875153E1,9.076236257E1
8.208654880E-1,1.104375076E1,-6.356250286E0,8.998125458E1,9.087899936E1
8.308654880E-1,1.087500000E1,-6.356250286E0,8.990625000E1,9.078436722E1
8.408654880E-1,1.074375057E1,-6.243750095E0,8.983125305E1,9.068663968E1
8.508654880E-1,1.065000057E1,-6.243750095E0,8.992500305E1,9.076845874E1
8.608654880E-1,1.055625057E1,-6.243750095E0,9.000000000E1,9.083181624E1
8.708654880E-1,1.044375038E1,-6.225000381E0,8.966250610E1,9.048307882E1
8.808654880E-1,1.048125076E1,-6.262500286E0,8.983125305E1,9.065720905E1
8.908654880E-1,1.031250000E1,-6.375000477E0,8.994375610E1,9.075719007E1
9.008654880E-1,1.012500000E1,-6.412500381E0,9.003750610E1,9.083164807E1
9.108654880E-1,1.016250038E1,-6.431250095E0,9.011250305E1,9.091149871E1
9.208654880E-1,1.008750057E1,-6.506250381E0,9.005625153E1,9.085272368E1
9.308654880E-1,1.008750057E1,-6.337500095E0,9.009375000E1,9.087796963E1
9.408654880E-1,9.956250191E0,-6.243750095E0,9.031875610E1,9.108012427E1
9.508654880E-1,9.787500381E0,-6.375000477E0,9.048750305E1,9.123828146E1
9.608654880E-1,9.881250381E0,-6.375000477E0,9.045000458E1,9.121120034E1
9.708654880E-1,9.768750191E0,-6.450000286E0,9.033750153E1,9.109278328E1
9.808654880E-1,9.900000572E0,-6.487500191E0,9.043125153E1,9.120257081E1
9.908654880E-1,9.993750572E0,-6.525000095E0,9.043125153E1,9.121546979E1
1.000865488E0,1.005000019E1,-6.843750477E0,9.041250610E1,9.122642536E1
1.010865488E0,1.003125000E1,-7.068750381E0,9.018750000E1,9.101856055E1
1.020865488E0,1.018125057E1,-7.050000191E0,9.009375000E1,9.094088275E1
1.030865488E0,1.036875057E1,-6.937500477E0,9.024375153E1,9.110200103E1
1.040865488E0,1.010625076E1,-6.918750286E0,9.024375153E1,9.107107169E1
1.050865488E0,1.025625038E1,-6.693750381E0,9.033750153E1,9.116392460E1
1.060865488E0,1.031250000E1,-6.731250286E0,9.011250305E1,9.095009947E1
1.070865488E0,1.016250038E1,-6.581250191E0,9.022500610E1,9.103373547E1
1.080865488E0,1.010625076E1,-6.262500286E0,9.031875610E1,9.109793037E1
1.090865488E0,1.010625076E1,-6.112500191E0,9.050625610E1,9.127366190E1
1.100865488E0,1.014375019E1,-6.243750095E0,9.054375458E1,9.132388284E1
1.110865488E0,1.035000038E1,-6.018750191E0,9.041250610E1,9.120180438E1
1.120865488E0,1.044375038E1,-6.187500477E0,9.041250610E1,9.122378168E1
1.130865488E0,1.059375000E1,-6.243750095E0,9.033750153E1,9.117058811E1
1.140865488E0,1.050000000E1,-6.243750095E0,9.050625610E1,9.132697744E1
1.150865488E0,1.053750038E1,-6.468750477E0,9.035625458E1,9.119833545E1
1.160865488E0,1.051875019E1,-6.675000191E0,9.046875000E1,9.132247511E1
1.170865488E0,1.036875057E1,-6.468750477E0,9.022500610E1,9.104892887E1
1.180865488E0,1.021875000E1,-6.543750286E0,9.000000000E1,9.081433543E1
1.190865488E0,9.956250191E0,-6.787500381E0,9.011250305E1,9.091457686E1
1.200865488E0,1.008750057E1,-6.506250381E0,9.003750610E1,9.083414263E1
1.210865488E0,9.937500000E0,-6.468750477E0,8.988750458E1,9.066621266E1
1.220865488E0,1.014375019E1,-6.562500477E0,8.968125153E1,9.049137503E1
1.230865488E0,1.021875000E1,-6.412500381E0,8.960625458E1,9.041473261E1
1.240865488E0,1.027500057E1,-6.393750191E0,8.938125610E1,9.019681048E1
1.250865488E0,1.053750038E1,-6.675000191E0,8.945625305E1,9.032173466E1
1.260865488E0,1.066875076E1,-6.543750286E0,8.966250610E1,9.053180608E1
1.270865488E0,1.087500000E1,-6.356250286E0,8.960625458E1,9.048728310E1
1.280865488E0,1.078125000E1,-6.506250381E0,8.971875000E1,9.059812772E1
1.290865488E0,1.081875038E1,-6.543750286E0,8.994375610E1,9.082810848E1
1.300865488E0,1.072500038E1,-6.450000286E0,8.994375610E1,9.081028245E1
1.310865488E0,1.078125000E1,-6.731250286E0,9.005625153E1,9.094874117E1
1.320865488E0,1.078125000E1,-6.412500381E0,9.013125610E1,9.099999362E1
1.330865488E0,1.066875076E1,-6.281250477E0,9.013125610E1,9.097757788E1
1.340865488E0,1.053750038E1,-6.206250191E0,9.003750610E1,9.086423367E1
1.350865488E0,1.033125019E1,-6.468750477E0,9.003750610E1,9.085885740E1
1.360865488E0,1.059375000E1,-6.468750477E0,9.003750610E1,9.088907953E1
1.370865488E0,1.055625057E1,-6.468750477E0,8.990625000E1,9.075468554E1
1.380865488E0,1.044375038E1,-6.487500191E0,8.988750458E1,9.072443475E1
1.390865488E0,1.046250057E1,-6.018750191E0,8.986875153E1,9.067569560E1
1.400865488E0,1.040625000E1,-6.225000381E0,8.986875153E1,9.068314711E1
1.410865488E0,1.036875057E1,-6.225000381E0,8.986875153E1,9.067885155E1
1.420865488E0,1.053750038E1,-6.450000286E0,8.985000610E1,9.069545201E1
1.430865488E0,1.053750038E1,-6.337500095E0,8.983125305E1,9.066894091E1
1.440865488E0,1.021875000E1,-6.206250191E0,8.964375305E1,9.043750801E1
1.450865488E0,1.010625076E1,-6.093750477E0,8.979375458E1,9.056593433E1
1.460865488E0,1.014375019E1,-5.962500095E0,8.988750458E1,9.065434658E1
1.470865488E0,1.003125000E1,-6.243750095E0,8.988750458E1,9.066076258E1
1.480865488E0,1.008750057E1,-6.131250381E0,9.001875305E1,9.078945864E1
1.490865488E0,1.021875000E1,-6.131250381E0,9.009375000E1,9.087848410E1
1.500865488E0,1.016250038E1,-5.981250286E0,9.015000153E1,9.091795501E1
1.510865488E0,1.029375076E1,-5.981250286E0,9.005625153E1,9.083977707E1
1.520865488E0,1.044375038E1,-6.168750286E0,9.011250305E1,9.092518138E1
1.530865488E0,1.055625057E1,-6.206250191E0,9.000000000E1,9.082924621E1
1.540865488E0,1.061250019E1,-6.112500191E0,8.992500305E1,9.075513205E1
1.550865488E0,1.048125076E1,-6.037500381E0,9.001875305E1,9.082777069E1
1.560865488E0,1.057500076E1,-6.206250191E0,9.001875305E1,9.085000872E1
1.570865488E0,1.050000000E1,-6.131250381E0,9.000000000E1,9.081763172E1
1.580865488E0,1.044375038E1,-6.075000286E0,9.000000000E1,9.080736507E1
1.590865488E0,1.033125019E1,-5.962500095E0,9.001875305E1,9.080562779E1
1.600865488E0,1.038750076E1,-6.131250381E0,8.996250153E1,9.076752770E1
1.610865488E0,1.029375076E1,-6.168750286E0,9.009375000E1,9.088948550E1
1.620865488E0,1.027500057E1,-6.318750381E0,9.026250458E1,9.106493274E1
1.630865488E0,1.038750076E1,-6.412500381E0,9.018750000E1,9.100991973E1
