DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.750053500E-2,2.756250191E1,-1.681875038E1,-2.810812683E2,2.829297462E2
3.750053500E-2,2.715000153E1,-1.768125153E1,-2.808750000E2,2.827375371E2
4.750053500E-2,2.681250191E1,-1.768125153E1,-2.805000000E2,2.823327592E2
5.750053500E-2,2.705625153E1,-1.775625038E1,-2.808000183E2,2.826587615E2
6.750053500E-2,2.724375153E1,-1.762500000E1,-2.808937683E2,2.827616871E2
7.750053500E-2,2.724375153E1,-1.775625038E1,-2.807062683E2,2.825836434E2
8.750053500E-2,2.722500038E1,-1.771875000E1,-2.808000183E2,2.826726110E2
9.750053500E-2,2.730000114E1,-1.779375076E1,-2.808375244E2,2.827218116E2
1.075005350E-1,2.713125038E1,-1.801875114E1,-2.807625122E2,2.826453049E2
1.175005350E-1,2.707500076E1,-1.801875114E1,-2.807250061E2,2.826026541E2
1.275005350E-1,2.711250114E1,-1.773750114E1,-2.807812500E2,2.826443295E2
1.375005350E-1,2.707500076E1,-1.766250038E1,-2.803875122E2,2.822448876E2
1.475005350E-1,2.701875114E1,-1.785000038E1,-2.802937622E2,2.821581623E2
1.575005350E-1,2.705625153E1,-1.770000076E1,-2.805000000E2,2.823571865E2
1.675005350E-1,2.705625153E1,-1.766250038E1,-2.803500061E2,2.822058302E2
1.775005350E-1,2.698125076E1,-1.756875038E1,-2.802562561E2,2.820996596E2
1.875005350E-1,2.720625114E1,-1.736250114E1,-2.802562561E2,2.821084998E2
1.975005350E-1,2.730000114E1,-1.717500114E1,-2.802750244E2,2.821247243E2
2.075005350E-1,2.748750114E1,-1.766250038E1,-2.803312683E2,2.822288905E2
2.175005350E-1,2.730000114E1,-1.775625038E1,-2.806687622E2,2.825518157E2
2.275005350E-1,2.731875038E1,-1.773750114E1,-2.807250061E2,2.826083193E2
2.375005350E-1,2.743125153E1,-1.777500153E1,-2.805937500E2,2.824911977E2
2.475005350E-1,2.758125114E1,-1.768125153E1,-2.806875000E2,2.825930373E2
2.575005350E-1,2.771250153E1,-1.773750114E1,-2.806500244E2,2.825721817E2
2.675005350E-1,2.769375038E1,-1.777500153E1,-2.807625122E2,2.826844225E2
2.775005350E-1,2.773125076E1,-1.781250000E1,-2.806687622E2,2.825973487E2
2.875005350E-1,2.758125114E1,-1.756875038E1,-2.805750122E2,2.824742889E2
2.975005350E-1,2.760000038E1,-1.734375000E1,-2.804062500E2,2.822945815E2
3.075005350E-1,2.763750076E1,-1.719375038E1,-2.803500061E2,2.822332057E2
3.175005350E-1,2.726250076E1,-1.732500076E1,-2.804437561E2,2.822978922E2
3.275005350E-1,2.720625114E1,-1.730625153E1,-2.805375061E2,2.823844521E2
3.375005350E-1,2.715000153E1,-1.708125114E1,-2.807062683E2,2.825330083E2
3.475005350E-1,2.713125038E1,-1.696875000E1,-2.805562744E2,2.823753997E2
3.575005350E-1,2.716875076E1,-1.691250038E1,-2.807625122E2,2.825805406E2
3.675005350E-1,2.731875038E1,-1.674375153E1,-2.807062683E2,2.825290718E2
3.775005350E-1,2.754375076E1,-1.685625076E1,-2.808375244E2,2.826880021E2
3.875005350E-1,2.765625191E1,-1.680000114E1,-2.808562622E2,2.827142521E2
3.975005350E-1,2.771250153E1,-1.674375153E1,-2.806500244E2,2.825115434E2
4.075005350E-1,2.771250153E1,-1.687500000E1,-2.804437561E2,2.823144500E2
