DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.135314200E-2,2.686875153E1,-2.062500119E-1,-4.809375381E1,5.509066621E1
4.135314200E-2,2.641875076E1,2.250000089E-1,-4.745625305E1,5.431479514E1
5.135314200E-2,2.641875076E1,3.750000149E-2,-4.771875000E1,5.454384383E1
6.135314200E-2,2.643750191E1,2.625000179E-1,-4.775625229E1,5.458635403E1
7.135314200E-2,2.643750191E1,1.875000000E-1,-4.801875305E1,5.481584906E1
8.135314200E-2,2.643750191E1,1.500000060E-1,-4.818750381E1,5.496362007E1
9.135314200E-2,2.634375191E1,-0.000000000E0,-4.820625305E1,5.493483501E1
1.013531420E-1,2.649375153E1,-1.125000045E-1,-4.830000305E1,5.508921692E1
1.113531420E-1,2.662500191E1,7.500000298E-2,-4.822500229E1,5.508672433E1
1.213531420E-1,2.664375114E1,-2.437500060E-1,-4.848750305E1,5.532618586E1
1.313531420E-1,2.651250076E1,-2.437500060E-1,-4.835625076E1,5.514797456E1
1.413531420E-1,2.675625038E1,-4.312500060E-1,-4.833750153E1,5.525031190E1
1.513531420E-1,2.681250191E1,-3.562500179E-1,-4.813125229E1,5.509677504E1
1.613531420E-1,2.692500114E1,-5.250000358E-1,-4.809375381E1,5.512023646E1
1.713531420E-1,2.713125038E1,-3.000000119E-1,-4.809375381E1,5.521959709E1
1.813531420E-1,2.690625191E1,-2.062500119E-1,-4.809375381E1,5.510896558E1
1.913531420E-1,2.673750114E1,-2.062500119E-1,-4.809375381E1,5.502677223E1
2.013531420E-1,2.686875153E1,3.750000149E-2,-4.807500076E1,5.507392226E1
2.113531420E-1,2.718750191E1,9.375000000E-2,-4.820625305E1,5.534448376E1
2.213531420E-1,2.716875076E1,5.625000224E-2,-4.833750153E1,5.544960086E1
2.313531420E-1,2.713125038E1,-1.875000000E-1,-4.841250229E1,5.549693939E1
2.413531420E-1,2.703750038E1,-5.625000224E-2,-4.841250229E1,5.545087888E1
2.513531420E-1,2.694375038E1,-1.875000000E-1,-4.854375076E1,5.552023576E1
2.613531420E-1,2.709375191E1,-2.062500119E-1,-4.839375305E1,5.546232294E1
