DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.872543500E-2,3.114375114E1,-8.737500191E0,-1.313812561E2,1.353045143E2
3.872543500E-2,3.221250153E1,-8.362500191E0,-1.311375122E2,1.352945815E2
4.872543500E-2,3.176250076E1,-8.493750572E0,-1.317937622E2,1.358329710E2
5.872543500E-2,3.213750076E1,-8.737500191E0,-1.322250061E2,1.363547399E2
6.872543500E-2,3.215625000E1,-8.737500191E0,-1.320562592E2,1.361955356E2
7.872543500E-2,3.226875305E1,-8.756250381E0,-1.323375092E2,1.364960097E2
8.872543500E-2,3.243750000E1,-8.625000000E0,-1.322250061E2,1.364185994E2
9.872543500E-2,3.251250076E1,-8.700000763E0,-1.325250092E2,1.367319669E2
1.087254350E-1,3.260625076E1,-8.662500381E0,-1.325250092E2,1.367519088E2
1.187254350E-1,3.255000305E1,-8.700000763E0,-1.327687531E2,1.369771313E2
1.287254350E-1,3.270000076E1,-8.700000763E0,-1.325250092E2,1.367766724E2
1.387254350E-1,3.255000305E1,-8.643750191E0,-1.322062531E2,1.364284078E2
1.487254350E-1,3.270000076E1,-8.700000763E0,-1.323000031E2,1.365586719E2
1.587254350E-1,3.262500000E1,-8.606250763E0,-1.323562622E2,1.365893053E2
1.687254350E-1,3.251250076E1,-8.587500572E0,-1.325625000E2,1.367611943E2
1.787254350E-1,3.251250076E1,-8.531250000E0,-1.323187561E2,1.365214201E2
1.887254350E-1,3.258750153E1,-8.681250572E0,-1.326375122E2,1.368576597E2
1.987254350E-1,3.270000076E1,-8.625000000E0,-1.324875031E2,1.367355811E2
2.087254350E-1,3.262500000E1,-8.381250381E0,-1.325812531E2,1.367933648E2
2.187254350E-1,3.277500153E1,-8.456250191E0,-1.328062592E2,1.370518565E2
2.287254350E-1,3.271875000E1,-8.437500000E0,-1.328812561E2,1.371099421E2
2.387254350E-1,3.285000229E1,-8.381250381E0,-1.327312622E2,1.369925399E2
2.487254350E-1,3.279375076E1,-8.681250572E0,-1.328250122E2,1.370885775E2
2.587254350E-1,3.266250229E1,-8.662500381E0,-1.329187622E2,1.371469114E2
2.687254350E-1,3.275625229E1,-8.587500572E0,-1.328812561E2,1.371282081E2
2.787254350E-1,3.268125153E1,-8.662500381E0,-1.331062622E2,1.373330993E2
2.887254350E-1,3.255000305E1,-8.868750572E0,-1.331625061E2,1.373696126E2
2.987254350E-1,3.255000305E1,-8.831250191E0,-1.329375000E2,1.371490889E2
3.087254350E-1,3.253125000E1,-8.850000381E0,-1.329187622E2,1.371276853E2
3.187254350E-1,3.238125229E1,-8.981250763E0,-1.327500000E2,1.369371055E2
3.287254350E-1,3.247500229E1,-8.793750763E0,-1.326000061E2,1.368017450E2
3.387254350E-1,3.249375153E1,-8.850000381E0,-1.325250092E2,1.367371363E2
3.487254350E-1,3.247500229E1,-8.775000572E0,-1.324500122E2,1.366551578E2
3.587254350E-1,3.240000153E1,-8.793750763E0,-1.322250061E2,1.364204618E2
3.687254350E-1,3.277500153E1,-8.737500191E0,-1.321875000E2,1.364700692E2
3.787254350E-1,3.279375076E1,-8.606250763E0,-1.325625000E2,1.368295072E2
3.887254350E-1,3.260625076E1,-8.512500763E0,-1.324500122E2,1.366698064E2
3.987254350E-1,3.260625076E1,-8.512500763E0,-1.326375122E2,1.368515250E2
4.087254350E-1,3.270000076E1,-8.568750381E0,-1.327687531E2,1.370045814E2
4.187254350E-1,3.279375076E1,-8.493750572E0,-1.324875031E2,1.367498166E2
4.287254350E-1,3.251250076E1,-8.512500763E0,-1.324312592E2,1.366292933E2
4.387254350E-1,3.256875229E1,-8.381250381E0,-1.327125092E2,1.369071914E2
4.487254350E-1,3.249375153E1,-8.456250191E0,-1.329375000E2,1.371121109E2
4.587254350E-1,3.256875229E1,-8.493750572E0,-1.328812561E2,1.370776993E2
