MAGNET_DISTANCE=10
DELAY=5
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.526227740E-1,-2.411250114E1,4.590000153E1,-1.468125057E1,5.388656576E1
6.626227740E-1,-2.683125114E1,4.878750229E1,-1.186875057E1,5.692981343E1
6.726227740E-1,-2.964375114E1,5.178750229E1,-8.831250191E0,6.032154139E1
6.826227740E-1,-3.273750305E1,5.454375076E1,-4.893750191E0,6.380214451E1
6.926227740E-1,-3.586875153E1,5.694375229E1,-6.750000119E-1,6.730240624E1
7.026227740E-1,-3.830625153E1,5.919375229E1,4.443750381E0,7.064712403E1
7.126227740E-1,-4.096875000E1,6.063750076E1,9.937500000E0,7.385187121E1
7.226227740E-1,-4.331250000E1,6.208125305E1,1.597500038E1,7.736443158E1
7.326227740E-1,-4.500000000E1,6.260625076E1,2.240625000E1,8.029061386E1
7.426227740E-1,-4.621875000E1,6.270000076E1,2.925000191E1,8.320472077E1
7.526227740E-1,-4.704375076E1,6.206250381E1,3.671250153E1,8.609690258E1
7.626227740E-1,-4.738125229E1,6.099375153E1,4.325625229E1,8.852301484E1
7.726227740E-1,-4.711875153E1,5.964375305E1,4.959375381E1,9.075844005E1
7.826227740E-1,-4.704375076E1,5.803125381E1,5.540625381E1,9.300856878E1
7.926227740E-1,-4.640625000E1,5.585625076E1,6.050625229E1,9.452231141E1
8.026227740E-1,-4.575000000E1,5.323125076E1,6.513750458E1,9.575762664E1
8.126227740E-1,-4.464375305E1,5.083125305E1,6.930000305E1,9.684715482E1
8.226227740E-1,-4.321875000E1,4.822500229E1,7.288125610E1,9.749455723E1
8.326227740E-1,-4.158750153E1,4.546875000E1,7.563750458E1,9.756003079E1
8.426227740E-1,-3.922500229E1,4.224375153E1,7.886250305E1,9.768536090E1
8.526227740E-1,-3.661875153E1,3.862500000E1,8.184375000E1,9.762798268E1
8.626227740E-1,-3.341250229E1,3.466875076E1,8.450625610E1,9.726060307E1
8.726227740E-1,-2.966250038E1,3.080625153E1,8.707500458E1,9.701002775E1
8.826227740E-1,-2.572500038E1,2.690625191E1,8.934375000E1,9.678857216E1
8.926227740E-1,-2.184375000E1,2.287500000E1,9.099375153E1,9.633419879E1
9.026227740E-1,-1.781250000E1,1.897500038E1,9.215625000E1,9.576069240E1
9.126227740E-1,-1.372500038E1,1.505625057E1,9.296250153E1,9.516876067E1
9.226227740E-1,-1.016250038E1,1.196250057E1,9.292500305E1,9.424136049E1
9.326227740E-1,-6.675000191E0,9.112500191E0,9.245625305E1,9.314371699E1
9.426227740E-1,-3.281250238E0,6.581250191E0,9.163125610E1,9.192587531E1
9.526227740E-1,-7.312500477E-1,4.293750286E0,9.045000458E1,9.055481404E1
9.626227740E-1,1.912500024E0,2.325000048E0,8.917500305E1,8.922580597E1
9.726227740E-1,4.087500095E0,5.250000358E-1,8.820000458E1,8.829622919E1
9.826227740E-1,5.962500095E0,-9.187500477E-1,8.692500305E1,8.713410162E1
9.926227740E-1,7.687500477E0,-2.175000191E0,8.570625305E1,8.607781422E1
1.002622774E0,9.618750572E0,-3.918750048E0,8.452500153E1,8.516074710E1
1.012622774E0,1.106250000E1,-5.193750381E0,8.371875000E1,8.460604618E1
1.022622774E0,1.215000057E1,-6.393750191E0,8.304375458E1,8.417106231E1
1.032622774E0,1.316250038E1,-7.275000095E0,8.265000153E1,8.400714133E1
1.042622774E0,1.370625019E1,-7.743750095E0,8.233125305E1,8.382280232E1
1.052622774E0,1.447500038E1,-8.062500000E0,8.190000153E1,8.355919933E1
1.062622774E0,1.492500019E1,-8.550000191E0,8.176875305E1,8.355828570E1
1.072622774E0,1.505625057E1,-8.456250191E0,8.180625153E1,8.360898060E1
1.082622774E0,1.496250057E1,-8.231250763E0,8.193750000E1,8.369817094E1
1.092622774E0,1.488750076E1,-8.212500572E0,8.201250458E1,8.375639529E1
1.102622774E0,1.471875095E1,-7.950000286E0,8.206875610E1,8.375634222E1
1.112622774E0,1.464375019E1,-7.987500191E0,8.220000458E1,8.387538573E1
1.122622774E0,1.473750019E1,-8.081250191E0,8.223750305E1,8.393752096E1
1.132622774E0,1.462500095E1,-8.100000381E0,8.229375458E1,8.397477420E1
1.142622774E0,1.462500095E1,-8.006250381E0,8.246250153E1,8.413117648E1
1.152622774E0,1.475625038E1,-8.118750572E0,8.244375610E1,8.414650294E1
1.162622774E0,1.460625076E1,-8.437500000E0,8.265000153E1,8.435375937E1
1.172622774E0,1.432500076E1,-8.156250000E0,8.280000305E1,8.442494043E1
1.182622774E0,1.455000019E1,-8.400000572E0,8.319375610E1,8.487322057E1
1.192622774E0,1.477500057E1,-8.062500000E0,8.321250153E1,8.489773235E1
1.202622774E0,1.477500057E1,-7.818750381E0,8.347500610E1,8.513230963E1
1.212622774E0,1.477500057E1,-7.837500095E0,8.362500000E1,8.528110972E1
1.222622774E0,1.490625095E1,-7.781250477E0,8.351250458E1,8.518851212E1
1.232622774E0,1.501875019E1,-7.818750381E0,8.375625610E1,8.545060650E1
1.242622774E0,1.533750057E1,-7.500000477E0,8.394375610E1,8.566237867E1
1.252622774E0,1.561875057E1,-7.687500477E0,8.392500305E1,8.571142964E1
1.262622774E0,1.567500019E1,-7.631250381E0,8.368125153E1,8.547802917E1
1.272622774E0,1.563750076E1,-7.556250095E0,8.366250610E1,8.544614253E1
1.282622774E0,1.565625095E1,-7.612500191E0,8.351250458E1,8.530771814E1
1.292622774E0,1.588125038E1,-7.443750381E0,8.341875458E1,8.524266625E1
1.302622774E0,1.575000095E1,-7.312500477E0,8.341875458E1,8.520694695E1
1.312622774E0,1.575000095E1,-7.106250286E0,8.330625153E1,8.507933278E1
1.322622774E0,1.563750076E1,-6.993750095E0,8.311875153E1,8.486560449E1
1.332622774E0,1.565625095E1,-6.806250095E0,8.296875000E1,8.470688703E1
1.342622774E0,1.561875057E1,-6.637500286E0,8.295000458E1,8.466820560E1
1.352622774E0,1.569375038E1,-6.712500095E0,8.293125153E1,8.466961638E1
1.362622774E0,1.576875019E1,-6.843750477E0,8.281875610E1,8.458390370E1
1.372622774E0,1.552500057E1,-6.825000286E0,8.298750305E1,8.470260878E1
1.382622774E0,1.552500057E1,-6.900000095E0,8.317500305E1,8.489238350E1
1.392622774E0,1.539375019E1,-6.900000095E0,8.326875305E1,8.496036006E1
1.402622774E0,1.520625019E1,-7.050000191E0,8.345625305E1,8.512272741E1
1.412622774E0,1.537500095E1,-7.031250477E0,8.343750000E1,8.513310486E1
1.422622774E0,1.528125095E1,-6.918750286E0,8.349375153E1,8.516215286E1
1.432622774E0,1.515000057E1,-6.918750286E0,8.356875610E1,8.521225628E1
1.442622774E0,1.511250019E1,-6.900000095E0,8.336250305E1,8.500179162E1
1.452622774E0,1.528125095E1,-6.900000095E0,8.310000610E1,8.477462855E1
1.462622774E0,1.526250076E1,-7.068750381E0,8.310000610E1,8.478515304E1
1.472622774E0,1.537500095E1,-7.106250286E0,8.319375610E1,8.490047410E1
1.482622774E0,1.535625076E1,-6.918750286E0,8.306250000E1,8.475294950E1
1.492622774E0,1.503750038E1,-7.031250477E0,8.325000000E1,8.488891212E1
1.502622774E0,1.518750095E1,-6.993750095E0,8.311875153E1,8.478384033E1
1.512622774E0,1.530000019E1,-7.143750191E0,8.296875000E1,8.466957334E1
1.522622774E0,1.522500038E1,-7.068750381E0,8.334375000E1,8.501734254E1
1.532622774E0,1.520625019E1,-7.087500095E0,8.362500000E1,8.529128518E1
1.542622774E0,1.509375095E1,-7.181250095E0,8.338125610E1,8.504014076E1
1.552622774E0,1.486875057E1,-7.200000286E0,8.330625153E1,8.492850694E1
1.562622774E0,1.488750076E1,-7.275000095E0,8.351250458E1,8.514048230E1
1.572622774E0,1.515000057E1,-7.237500191E0,8.334375000E1,8.501814271E1
1.582622774E0,1.496250057E1,-7.368750095E0,8.347500610E1,8.512491730E1
1.592622774E0,1.498125076E1,-7.218750477E0,8.341875458E1,8.506019544E1
1.602622774E0,1.496250057E1,-7.293750286E0,8.343750000E1,8.508167619E1
1.612622774E0,1.503750038E1,-7.406250477E0,8.326875305E1,8.493917941E1
1.622622774E0,1.528125095E1,-7.050000191E0,8.343750000E1,8.511777452E1
