DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.420068700E-2,2.739375114E1,-9.056250572E0,-4.597500229E1,5.427830240E1
3.420068700E-2,2.748750114E1,-8.775000572E0,-4.659375000E1,5.480457000E1
4.420068700E-2,2.700000191E1,-9.206250191E0,-4.676250076E1,5.477669781E1
5.420068700E-2,2.752500153E1,-9.562500000E0,-4.657500076E1,5.493903723E1
6.420068700E-2,2.765625191E1,-9.375000000E0,-4.644375229E1,5.486147119E1
7.420068700E-2,2.763750076E1,-9.281250000E0,-4.640625000E1,5.480431634E1
8.420068700E-2,2.773125076E1,-9.262500763E0,-4.651875305E1,5.494370369E1
9.420068700E-2,2.771250153E1,-9.375000000E0,-4.651875305E1,5.495332339E1
1.042006870E-1,2.769375038E1,-9.393750191E0,-4.683750153E1,5.521718847E1
1.142006870E-1,2.769375038E1,-9.487500191E0,-4.674375153E1,5.515373765E1
1.242006870E-1,2.788125038E1,-9.375000000E0,-4.666875076E1,5.516545156E1
1.342006870E-1,2.767500114E1,-9.037500381E0,-4.668750000E1,5.502094835E1
1.442006870E-1,2.758125114E1,-9.093750000E0,-4.683750153E1,5.511055482E1
1.542006870E-1,2.743125153E1,-9.037500381E0,-4.691250229E1,5.509022458E1
1.642006870E-1,2.733750153E1,-8.981250763E0,-4.708125305E1,5.517831317E1
1.742006870E-1,2.718750191E1,-9.037500381E0,-4.715625000E1,5.517742824E1
1.842006870E-1,2.705625153E1,-9.037500381E0,-4.708125305E1,5.504871977E1
1.942006870E-1,2.700000191E1,-9.131250381E0,-4.728750229E1,5.521311175E1
2.042006870E-1,2.709375191E1,-9.018750191E0,-4.726875305E1,5.522448970E1
2.142006870E-1,2.694375038E1,-9.168750763E0,-4.740000153E1,5.528826114E1
2.242006870E-1,2.688750076E1,-9.225000381E0,-4.732500076E1,5.520592384E1
2.342006870E-1,2.715000153E1,-9.356250763E0,-4.732500076E1,5.535627976E1
2.442006870E-1,2.705625153E1,-9.618750572E0,-4.715625000E1,5.521116756E1
2.542006870E-1,2.715000153E1,-9.487500191E0,-4.704375076E1,5.513845961E1
2.642006870E-1,2.720625114E1,-9.468750000E0,-4.723125076E1,5.532294620E1
2.742006870E-1,2.709375191E1,-9.431250572E0,-4.698750305E1,5.505311365E1
