DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.643104200E-2,2.148750114E1,-5.400000095E0,-4.539375305E1,5.051203344E1
4.643104200E-2,2.146875000E1,-6.131250381E0,-4.541250229E1,5.060429648E1
5.643104200E-2,2.152500153E1,-5.981250286E0,-4.550625229E1,5.069437881E1
6.643104200E-2,2.131875038E1,-5.943750381E0,-4.603125000E1,5.107536846E1
7.643104200E-2,2.139375114E1,-5.812500000E0,-4.608750153E1,5.114230676E1
8.643104200E-2,2.130000114E1,-5.887500286E0,-4.595625305E1,5.099343000E1
9.643104200E-2,2.145000076E1,-5.943750381E0,-4.576875305E1,5.089410042E1
1.064310420E-1,2.156250000E1,-5.868750095E0,-4.580625153E1,5.096661959E1
1.164310420E-1,2.146875000E1,-5.906250000E0,-4.578750229E1,5.091450070E1
1.264310420E-1,2.150625038E1,-5.775000095E0,-4.605000305E1,5.115146345E1
1.364310420E-1,2.150625038E1,-5.775000095E0,-4.625625229E1,5.133722146E1
1.464310420E-1,2.158125114E1,-5.868750095E0,-4.620000076E1,5.132867326E1
1.564310420E-1,2.152500153E1,-6.056250095E0,-4.629375076E1,5.141123628E1
1.664310420E-1,2.173125076E1,-5.981250286E0,-4.629375076E1,5.148916366E1
1.764310420E-1,2.176875114E1,-5.906250000E0,-4.657500076E1,5.174932861E1
1.864310420E-1,2.178750038E1,-6.018750191E0,-4.651875305E1,5.171957958E1
1.964310420E-1,2.178750038E1,-5.962500095E0,-4.651875305E1,5.171306378E1
2.064310420E-1,2.169375038E1,-6.037500381E0,-4.623750305E1,5.142933895E1
2.164310420E-1,2.150625038E1,-6.206250191E0,-4.593750000E1,5.110078525E1
2.264310420E-1,2.169375038E1,-6.037500381E0,-4.567500305E1,5.092421939E1
2.364310420E-1,2.167500114E1,-6.056250095E0,-4.552500153E1,5.078395026E1
2.464310420E-1,2.145000076E1,-6.225000381E0,-4.545000076E1,5.064144283E1
2.564310420E-1,2.113125038E1,-6.112500191E0,-4.524375153E1,5.030794623E1
2.664310420E-1,2.116875076E1,-6.075000286E0,-4.528125000E1,5.035288710E1
2.764310420E-1,2.139375114E1,-6.206250191E0,-4.528125000E1,5.046386560E1
2.864310420E-1,2.167500114E1,-6.168750286E0,-4.537500000E1,5.066310077E1
2.964310420E-1,2.175000000E1,-5.943750381E0,-4.560000229E1,5.086994080E1
3.064310420E-1,2.161875153E1,-5.943750381E0,-4.560000229E1,5.081396260E1
3.164310420E-1,2.167500114E1,-5.812500000E0,-4.554375076E1,5.077227653E1
3.264310420E-1,2.182500076E1,-5.681250095E0,-4.569375229E1,5.095612092E1
3.364310420E-1,2.212500000E1,-5.737500191E0,-4.573125076E1,5.112515848E1
3.464310420E-1,2.195625114E1,-5.775000095E0,-4.569375229E1,5.102300058E1
3.564310420E-1,2.188125038E1,-5.906250000E0,-4.561875153E1,5.093862383E1
3.664310420E-1,2.154375076E1,-6.000000000E0,-4.561875153E1,5.080554780E1
3.764310420E-1,2.152500153E1,-5.981250286E0,-4.558125305E1,5.076171466E1
3.864310420E-1,2.133750153E1,-5.962500095E0,-4.560000229E1,5.069714575E1
3.964310420E-1,2.143125153E1,-5.737500191E0,-4.558125305E1,5.069386630E1
4.064310420E-1,2.150625038E1,-5.812500000E0,-4.548750305E1,5.064994468E1
4.164310420E-1,2.146875000E1,-5.868750095E0,-4.554375076E1,5.069105136E1
4.264310420E-1,2.163750076E1,-5.756250381E0,-4.576875305E1,5.095188528E1
4.364310420E-1,2.182500076E1,-5.681250095E0,-4.582500076E1,5.107384806E1
4.464310420E-1,2.203125000E1,-5.456250191E0,-4.578750229E1,5.110422691E1
4.564310420E-1,2.229375076E1,-5.493750095E0,-4.573125076E1,5.117167097E1
4.664310420E-1,2.257500076E1,-5.606250286E0,-4.575000000E1,5.132370994E1
4.764310420E-1,2.246250153E1,-5.981250286E0,-4.569375229E1,5.126654199E1
4.864310420E-1,2.233125114E1,-5.887500286E0,-4.591875076E1,5.139921312E1
4.964310420E-1,2.206875038E1,-5.925000191E0,-4.601250076E1,5.137397782E1
5.064310420E-1,2.220000076E1,-6.037500381E0,-4.567500305E1,5.114193337E1
5.164310420E-1,2.218125153E1,-6.093750477E0,-4.561875153E1,5.109023591E1
5.264310420E-1,2.212500000E1,-6.206250191E0,-4.552500153E1,5.099567560E1
5.364310420E-1,2.206875038E1,-6.037500381E0,-4.533750153E1,5.078356229E1
5.464310420E-1,2.203125000E1,-6.037500381E0,-4.539375305E1,5.081751867E1
5.564310420E-1,2.212500000E1,-5.850000381E0,-4.556250000E1,5.098705263E1
5.664310420E-1,2.221875000E1,-5.962500095E0,-4.541250229E1,5.090697028E1
5.764310420E-1,2.227500153E1,-5.868750095E0,-4.518750000E1,5.072009540E1
5.864310420E-1,2.205000114E1,-5.925000191E0,-4.518750000E1,5.062823653E1
5.964310420E-1,2.165625000E1,-5.831250191E0,-4.522500229E1,5.048066437E1
6.064310420E-1,2.167500114E1,-5.756250381E0,-4.511250305E1,5.037934125E1
6.164310420E-1,2.146875000E1,-6.093750477E0,-4.528125000E1,5.048200296E1
6.264310420E-1,2.156250000E1,-5.925000191E0,-4.541250229E1,5.061958512E1
6.364310420E-1,2.152500153E1,-5.981250286E0,-4.503750229E1,5.027402568E1
6.464310420E-1,2.156250000E1,-5.793750286E0,-4.498125076E1,5.021774456E1
6.564310420E-1,2.169375038E1,-5.793750286E0,-4.515000153E1,5.042528122E1
6.664310420E-1,2.186250114E1,-5.775000095E0,-4.539375305E1,5.071402566E1
6.764310420E-1,2.214375114E1,-5.756250381E0,-4.537500000E1,5.081703217E1
6.864310420E-1,2.221875000E1,-5.868750095E0,-4.560000229E1,5.106344375E1
6.964310420E-1,2.229375076E1,-5.662500381E0,-4.533750153E1,5.083861011E1
7.064310420E-1,2.206875038E1,-5.831250191E0,-4.524375153E1,5.067573654E1
7.164310420E-1,2.206875038E1,-5.775000095E0,-4.530000305E1,5.071952924E1
7.264310420E-1,2.190000153E1,-5.775000095E0,-4.543125153E1,5.076375979E1
7.364310420E-1,2.199375153E1,-5.887500286E0,-4.543125153E1,5.081718588E1
7.464310420E-1,2.188125038E1,-5.850000381E0,-4.530000305E1,5.064683504E1
7.564310420E-1,2.167500114E1,-5.643750191E0,-4.546875000E1,5.068594300E1
7.664310420E-1,2.154375076E1,-5.700000286E0,-4.552500153E1,5.068677307E1
7.764310420E-1,2.169375038E1,-5.831250191E0,-4.563750076E1,5.086652888E1
7.864310420E-1,2.182500076E1,-5.887500286E0,-4.573125076E1,5.101314158E1
7.964310420E-1,2.186250114E1,-5.887500286E0,-4.601250076E1,5.128139860E1
8.064310420E-1,2.195625114E1,-6.093750477E0,-4.586250305E1,5.121113107E1
8.164310420E-1,2.176875114E1,-5.906250000E0,-4.582500076E1,5.107536598E1
8.264310420E-1,2.156250000E1,-5.793750286E0,-4.588125229E1,5.102546678E1
