DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.806781900E-2,1.653750038E1,-1.151250076E1,-9.883125305E1,1.008644792E2
3.806781900E-2,1.599375057E1,-1.216875076E1,-1.001625061E2,1.021587303E2
4.806781900E-2,1.621875000E1,-1.233750057E1,-1.005562515E2,1.026002997E2
5.806781900E-2,1.582500076E1,-1.224375057E1,-1.008187561E2,1.027850264E2
6.806781900E-2,1.608750153E1,-1.213125038E1,-1.011375046E2,1.031250201E2
7.806781900E-2,1.625625038E1,-1.222500038E1,-1.014000015E2,1.034199044E2
8.806781900E-2,1.633125114E1,-1.218750095E1,-1.014000015E2,1.034272945E2
9.806781900E-2,1.631250000E1,-1.226250076E1,-1.013437576E2,1.033780624E2
1.080678190E-1,1.625625038E1,-1.215000057E1,-1.017375031E2,1.037420248E2
1.180678190E-1,1.635000038E1,-1.188750076E1,-1.017937546E2,1.037815189E2
1.280678190E-1,1.620000076E1,-1.190625000E1,-1.018500061E2,1.038153291E2
1.380678190E-1,1.650000000E1,-1.205625057E1,-1.017000046E2,1.037328015E2
1.480678190E-1,1.635000038E1,-1.224375057E1,-1.016062546E2,1.036390993E2
1.580678190E-1,1.597500038E1,-1.203750038E1,-1.015500031E2,1.035012327E2
1.680678190E-1,1.591875076E1,-1.211250019E1,-1.016062546E2,1.035565076E2
1.780678190E-1,1.620000076E1,-1.198125076E1,-1.016625061E2,1.036400287E2
1.880678190E-1,1.605000114E1,-1.215000057E1,-1.015875015E2,1.035627612E2
1.980678190E-1,1.601250076E1,-1.239375019E1,-1.014375076E2,1.034387412E2
2.080678190E-1,1.603125000E1,-1.201875019E1,-1.013625031E2,1.033238034E2
2.180678190E-1,1.593750095E1,-1.183125019E1,-1.014750061E2,1.033980623E2
2.280678190E-1,1.597500038E1,-1.177500057E1,-1.015687561E2,1.034894366E2
2.380678190E-1,1.616250038E1,-1.211250019E1,-1.013812561E2,1.033735854E2
2.480678190E-1,1.610625076E1,-1.200000000E1,-1.014000015E2,1.033700712E2
2.580678190E-1,1.584375095E1,-1.203750038E1,-1.014562531E2,1.033890572E2
2.680678190E-1,1.584375095E1,-1.211250019E1,-1.014937515E2,1.034346108E2
2.780678190E-1,1.582500076E1,-1.203750038E1,-1.017375031E2,1.036621994E2
2.880678190E-1,1.593750095E1,-1.228125095E1,-1.017750015E2,1.037448023E2
2.980678190E-1,1.573125076E1,-1.230000019E1,-1.018312531E2,1.037707394E2
3.080678190E-1,1.561875057E1,-1.218750095E1,-1.018125076E2,1.037220674E2
3.180678190E-1,1.576875019E1,-1.198125076E1,-1.020375061E2,1.039416014E2
3.280678190E-1,1.584375095E1,-1.192500019E1,-1.020562515E2,1.039649390E2
3.380678190E-1,1.571250057E1,-1.185000038E1,-1.018875046E2,1.037707510E2
