DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.775658300E-2,1.845000076E1,-1.278750038E1,-1.717312622E2,1.731922317E2
3.775658300E-2,1.912500000E1,-1.256250095E1,-1.712437592E2,1.727657579E2
4.775658300E-2,1.865625000E1,-1.224375057E1,-1.708875122E2,1.723383501E2
5.775658300E-2,1.807500076E1,-1.239375019E1,-1.713562622E2,1.727520746E2
6.775658300E-2,1.803750038E1,-1.246875095E1,-1.715250092E2,1.729209355E2
7.775658300E-2,1.781250000E1,-1.260000038E1,-1.713375092E2,1.727211255E2
8.775658300E-2,1.783125114E1,-1.278750038E1,-1.713750000E2,1.727740267E2
9.775658300E-2,1.790625000E1,-1.297500038E1,-1.712812500E2,1.727027823E2
1.077565830E-1,1.783125114E1,-1.305000019E1,-1.712437592E2,1.726634908E2
1.177565830E-1,1.762500000E1,-1.318125057E1,-1.714125061E2,1.728196552E2
1.277565830E-1,1.770000076E1,-1.340625095E1,-1.716375122E2,1.730677705E2
1.377565830E-1,1.796250153E1,-1.346250057E1,-1.714687500E2,1.729318438E2
1.477565830E-1,1.786875153E1,-1.351875019E1,-1.714125061E2,1.728707498E2
1.577565830E-1,1.815000153E1,-1.374375057E1,-1.714687500E2,1.729735398E2
1.677565830E-1,1.820625114E1,-1.355625057E1,-1.714500122E2,1.729460789E2
1.777565830E-1,1.816875076E1,-1.351875019E1,-1.715437622E2,1.730321429E2
1.877565830E-1,1.811250114E1,-1.338750076E1,-1.716375122E2,1.731089930E2
1.977565830E-1,1.788750076E1,-1.338750076E1,-1.716750031E2,1.731227730E2
2.077565830E-1,1.779375076E1,-1.318125057E1,-1.715625000E2,1.729857056E2
2.177565830E-1,1.773750114E1,-1.310625076E1,-1.716375122E2,1.730486300E2
2.277565830E-1,1.786875153E1,-1.290000057E1,-1.714500122E2,1.728606635E2
2.377565830E-1,1.764375114E1,-1.271250057E1,-1.713750000E2,1.727492410E2
