DELAY=12
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.424147700E-2,2.638125038E1,-1.153125000E1,-4.481250000E1,5.326443705E1
3.424147700E-2,2.613750076E1,-1.183125019E1,-4.558125305E1,5.385905733E1
4.424147700E-2,2.640000153E1,-1.119375038E1,-4.552500153E1,5.380321451E1
5.424147700E-2,2.656875038E1,-1.164375019E1,-4.590000153E1,5.429811742E1
6.424147700E-2,2.664375114E1,-1.168125057E1,-4.548750305E1,5.399494443E1
7.424147700E-2,2.666250038E1,-1.188750076E1,-4.543125153E1,5.400185382E1
8.424147700E-2,2.668125153E1,-1.205625057E1,-4.539375305E1,5.401698971E1
9.424147700E-2,2.638125038E1,-1.231875038E1,-4.535625076E1,5.389723060E1
1.042414770E-1,2.619375038E1,-1.248750019E1,-4.546875000E1,5.393938678E1
1.142414770E-1,2.611875153E1,-1.267500019E1,-4.541250229E1,5.389935227E1
1.242414770E-1,2.600625038E1,-1.325625038E1,-4.531875229E1,5.390586742E1
1.342414770E-1,2.600625038E1,-1.316250038E1,-4.511250305E1,5.370953739E1
1.442414770E-1,2.593125153E1,-1.314375019E1,-4.524375153E1,5.377903892E1
1.542414770E-1,2.581875038E1,-1.301250076E1,-4.509375000E1,5.356658787E1
1.642414770E-1,2.572500038E1,-1.297500038E1,-4.509375000E1,5.351235903E1
1.742414770E-1,2.593125153E1,-1.282500076E1,-4.501875305E1,5.351260204E1
1.842414770E-1,2.611875153E1,-1.284375095E1,-4.479375076E1,5.341938999E1
1.942414770E-1,2.623125076E1,-1.263750076E1,-4.477500153E1,5.340960310E1
2.042414770E-1,2.623125076E1,-1.241250038E1,-4.488750076E1,5.345125262E1
2.142414770E-1,2.610000038E1,-1.254375076E1,-4.477500153E1,5.332313255E1
2.242414770E-1,2.598750114E1,-1.265625095E1,-4.473750305E1,5.326326204E1
2.342414770E-1,2.606250191E1,-1.275000095E1,-4.486875153E1,5.343240022E1
2.442414770E-1,2.589375114E1,-1.299375057E1,-4.473750305E1,5.329885629E1
2.542414770E-1,2.604375076E1,-1.299375057E1,-4.486875153E1,5.348195370E1
2.642414770E-1,2.604375076E1,-1.299375057E1,-4.477500153E1,5.340332639E1
2.742414770E-1,2.596875191E1,-1.321875095E1,-4.460625076E1,5.328066309E1
2.842414770E-1,2.595000076E1,-1.338750076E1,-4.441875076E1,5.315687289E1
2.942414770E-1,2.600625038E1,-1.338750076E1,-4.466250229E1,5.338810117E1
3.042414770E-1,2.625000191E1,-1.346250057E1,-4.473750305E1,5.358867139E1
3.142414770E-1,2.621250153E1,-1.361250019E1,-4.458750153E1,5.348308789E1
3.242414770E-1,2.628750038E1,-1.327500057E1,-4.473750305E1,5.356026975E1
3.342414770E-1,2.596875191E1,-1.310625076E1,-4.483125305E1,5.344147392E1
3.442414770E-1,2.589375114E1,-1.314375019E1,-4.520625305E1,5.372941310E1
3.542414770E-1,2.604375076E1,-1.291875076E1,-4.531875229E1,5.384199461E1
3.642414770E-1,2.595000076E1,-1.260000038E1,-4.546875000E1,5.384765339E1
3.742414770E-1,2.580000114E1,-1.245000076E1,-4.545000076E1,5.372471635E1
3.842414770E-1,2.540625191E1,-1.231875038E1,-4.561875153E1,5.364978786E1
3.942414770E-1,2.527500153E1,-1.186875057E1,-4.586250305E1,5.369415358E1
4.042414770E-1,2.512500191E1,-1.153125000E1,-4.612500000E1,5.377500416E1
4.142414770E-1,2.512500191E1,-1.121250057E1,-4.623750305E1,5.380420595E1
4.242414770E-1,2.484375191E1,-1.070625019E1,-4.638750076E1,5.369949747E1
4.342414770E-1,2.433750153E1,-1.008750057E1,-4.676250076E1,5.367311362E1
4.442414770E-1,2.413125038E1,-9.656250000E0,-4.696875000E1,5.368075899E1
4.542414770E-1,2.386875153E1,-9.112500191E0,-4.730625153E1,5.376463887E1
4.642414770E-1,2.364375114E1,-8.512500763E0,-4.756875229E1,5.379847425E1
