DELAY=5
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.841871400E-2,2.801250076E1,-9.206250191E0,-4.753125000E1,5.593455969E1
3.841871400E-2,2.846250153E1,-9.262500763E0,-4.785000229E1,5.644050525E1
4.841871400E-2,2.846250153E1,-9.300000191E0,-4.805625153E1,5.662161520E1
5.841871400E-2,2.808750153E1,-9.450000763E0,-4.839375305E1,5.674650290E1
6.841871400E-2,2.829375076E1,-9.262500763E0,-4.837500381E1,5.680203559E1
7.841871400E-2,2.827500153E1,-9.225000381E0,-4.809375381E1,5.654719710E1
8.841871400E-2,2.812500191E1,-9.150000572E0,-4.816875076E1,5.652403730E1
9.841871400E-2,2.808750153E1,-9.150000572E0,-4.820625305E1,5.653736009E1
1.084187140E-1,2.821875191E1,-9.075000763E0,-4.828125381E1,5.665450616E1
1.184187140E-1,2.823750114E1,-8.962500572E0,-4.833750153E1,5.669388804E1
1.284187140E-1,2.821875191E1,-9.075000763E0,-4.845000076E1,5.679838177E1
1.384187140E-1,2.838750076E1,-9.112500191E0,-4.845000076E1,5.688840333E1
1.484187140E-1,2.836875153E1,-9.356250763E0,-4.822500229E1,5.672720985E1
1.584187140E-1,2.835000038E1,-9.375000000E0,-4.843125153E1,5.689639067E1
1.684187140E-1,2.842500114E1,-9.318750381E0,-4.837500381E1,5.687671574E1
1.784187140E-1,2.836875153E1,-9.393750191E0,-4.837500381E1,5.686096728E1
1.884187140E-1,2.825625038E1,-9.506250381E0,-4.830000305E1,5.675979895E1
1.984187140E-1,2.818125153E1,-9.525000572E0,-4.820625305E1,5.664584192E1
2.084187140E-1,2.808750153E1,-9.318750381E0,-4.792500305E1,5.632541849E1
2.184187140E-1,2.805000114E1,-9.131250381E0,-4.773750305E1,5.611641021E1
2.284187140E-1,2.793750191E1,-9.150000572E0,-4.796250153E1,5.625502712E1
2.384187140E-1,2.791875076E1,-9.037500381E0,-4.788750076E1,5.616356280E1
2.484187140E-1,2.793750191E1,-9.187500000E0,-4.783125305E1,5.614929151E1
2.584187140E-1,2.805000114E1,-9.075000763E0,-4.779375076E1,5.615514950E1
2.684187140E-1,2.812500191E1,-9.037500381E0,-4.766250229E1,5.607500575E1
2.784187140E-1,2.806875038E1,-8.981250763E0,-4.758750153E1,5.597399320E1
2.884187140E-1,2.812500191E1,-8.906250000E0,-4.770000076E1,5.608589033E1
2.984187140E-1,2.814375114E1,-8.793750763E0,-4.771875000E1,5.609349234E1
3.084187140E-1,2.823750114E1,-8.643750191E0,-4.771875000E1,5.611728780E1
3.184187140E-1,2.829375076E1,-8.906250000E0,-4.768125153E1,5.615478046E1
3.284187140E-1,2.833125114E1,-8.737500191E0,-4.777500153E1,5.622681275E1
3.384187140E-1,2.829375076E1,-8.700000763E0,-4.740000153E1,5.588368716E1
3.484187140E-1,2.814375114E1,-8.718750000E0,-4.766250229E1,5.603393128E1
3.584187140E-1,2.818125153E1,-8.793750763E0,-4.788750076E1,5.625589497E1
3.684187140E-1,2.812500191E1,-8.943750381E0,-4.785000229E1,5.621947280E1
3.784187140E-1,2.806875038E1,-9.131250381E0,-4.785000229E1,5.622150123E1
3.884187140E-1,2.788125038E1,-9.093750000E0,-4.775625229E1,5.604212741E1
3.984187140E-1,2.803125191E1,-8.831250191E0,-4.794375229E1,5.623473524E1
4.084187140E-1,2.791875076E1,-8.887500763E0,-4.788750076E1,5.613962098E1
4.184187140E-1,2.808750153E1,-9.131250381E0,-4.815000153E1,5.648637112E1
4.284187140E-1,2.829375076E1,-8.868750572E0,-4.805625153E1,5.646764011E1
4.384187140E-1,2.827500153E1,-8.943750381E0,-4.805625153E1,5.647007785E1
4.484187140E-1,2.855625153E1,-8.868750572E0,-4.792500305E1,5.648823024E1
4.584187140E-1,2.859375191E1,-8.775000572E0,-4.770000076E1,5.630180597E1
4.684187140E-1,2.857500076E1,-8.831250191E0,-4.771875000E1,5.631696680E1
4.784187140E-1,2.844375038E1,-8.831250191E0,-4.751250076E1,5.607562433E1
4.884187140E-1,2.863125038E1,-8.793750763E0,-4.755000305E1,5.619680899E1
4.984187140E-1,2.851875114E1,-8.550000191E0,-4.764375305E1,5.618139260E1
5.084187140E-1,2.851875114E1,-8.718750000E0,-4.788750076E1,5.641408067E1
5.184187140E-1,2.857500076E1,-8.737500191E0,-4.785000229E1,5.641362688E1
5.284187140E-1,2.842500114E1,-8.850000381E0,-4.796250153E1,5.645090566E1
5.384187140E-1,2.833125114E1,-9.037500381E0,-4.807500076E1,5.652912438E1
5.484187140E-1,2.842500114E1,-8.906250000E0,-4.801875305E1,5.650754484E1
5.584187140E-1,2.833125114E1,-9.037500381E0,-4.794375229E1,5.641754681E1
5.684187140E-1,2.810625076E1,-9.243750572E0,-4.807500076E1,5.645010146E1
5.784187140E-1,2.808750153E1,-9.225000381E0,-4.800000000E1,5.637382703E1
5.884187140E-1,2.799375153E1,-9.225000381E0,-4.786875153E1,5.621537271E1
5.984187140E-1,2.773125076E1,-9.225000381E0,-4.768125153E1,5.592517008E1
6.084187140E-1,2.773125076E1,-9.225000381E0,-4.777500153E1,5.600512183E1
6.184187140E-1,2.773125076E1,-9.093750000E0,-4.803750229E1,5.620783027E1
6.284187140E-1,2.786250114E1,-8.981250763E0,-4.815000153E1,5.635072743E1
6.384187140E-1,2.797500038E1,-8.962500572E0,-4.833750153E1,5.656360240E1
6.484187140E-1,2.806875038E1,-8.962500572E0,-4.815000153E1,5.645001162E1
6.584187140E-1,2.803125191E1,-8.868750572E0,-4.824375153E1,5.649659619E1
6.684187140E-1,2.810625076E1,-8.943750381E0,-4.815000153E1,5.646569445E1
6.784187140E-1,2.840625191E1,-9.093750000E0,-4.813125229E1,5.662357180E1
6.884187140E-1,2.840625191E1,-9.000000000E0,-4.794375229E1,5.644925625E1
6.984187140E-1,2.835000038E1,-9.018750191E0,-4.779375076E1,5.629656285E1
7.084187140E-1,2.825625038E1,-9.337500572E0,-4.783125305E1,5.633323505E1
7.184187140E-1,2.846250153E1,-9.356250763E0,-4.785000229E1,5.645596639E1
7.284187140E-1,2.825625038E1,-9.206250191E0,-4.801875305E1,5.647097815E1
7.384187140E-1,2.836875153E1,-9.393750191E0,-4.800000000E1,5.654227273E1
7.484187140E-1,2.829375076E1,-9.412500381E0,-4.801875305E1,5.652373077E1
7.584187140E-1,2.823750114E1,-9.131250381E0,-4.811250305E1,5.652918852E1
7.684187140E-1,2.805000114E1,-9.337500572E0,-4.837500381E1,5.669331949E1
7.784187140E-1,2.805000114E1,-9.450000763E0,-4.850625229E1,5.682395261E1
7.884187140E-1,2.793750191E1,-9.262500763E0,-4.835625076E1,5.660940665E1
7.984187140E-1,2.765625191E1,-9.206250191E0,-4.831875229E1,5.642982487E1
8.084187140E-1,2.780625153E1,-9.225000381E0,-4.828125381E1,5.647448739E1
8.184187140E-1,2.775000191E1,-9.037500381E0,-4.815000153E1,5.630418871E1
8.284187140E-1,2.771250153E1,-8.887500763E0,-4.816875076E1,5.627787274E1
8.384187140E-1,2.752500153E1,-9.018750191E0,-4.833750153E1,5.635137636E1
8.484187140E-1,2.761875153E1,-8.925000191E0,-4.833750153E1,5.638231210E1
8.584187140E-1,2.782500076E1,-8.831250191E0,-4.824375153E1,5.638866206E1
8.684187140E-1,2.795625114E1,-9.018750191E0,-4.833750153E1,5.656327330E1
8.784187140E-1,2.790000153E1,-9.075000763E0,-4.822500229E1,5.644835312E1
8.884187140E-1,2.810625076E1,-9.187500000E0,-4.820625305E1,5.655275698E1
8.984187140E-1,2.810625076E1,-9.431250572E0,-4.835625076E1,5.672069117E1
9.084187140E-1,2.805000114E1,-9.375000000E0,-4.824375153E1,5.658756710E1
9.184187140E-1,2.816250038E1,-9.450000763E0,-4.816875076E1,5.659202675E1
9.284187140E-1,2.820000076E1,-9.393750191E0,-4.801875305E1,5.647373930E1
9.384187140E-1,2.801250076E1,-9.525000572E0,-4.811250305E1,5.648219883E1
9.484187140E-1,2.791875076E1,-9.412500381E0,-4.803750229E1,5.635293634E1
9.584187140E-1,2.791875076E1,-9.337500572E0,-4.809375381E1,5.638842716E1
9.684187140E-1,2.769375038E1,-9.206250191E0,-4.809375381E1,5.625573756E1
9.784187140E-1,2.769375038E1,-9.131250381E0,-4.813125229E1,5.627558077E1
9.884187140E-1,2.793750191E1,-9.000000000E0,-4.826250076E1,5.648692763E1
9.984187140E-1,2.801250076E1,-8.850000381E0,-4.818750381E1,5.643632013E1
1.008418714E0,2.795625114E1,-8.887500763E0,-4.826250076E1,5.647839080E1
1.018418714E0,2.797500038E1,-9.000000000E0,-4.811250305E1,5.637742098E1
1.028418714E0,2.795625114E1,-8.981250763E0,-4.813125229E1,5.638113417E1
1.038418714E0,2.801250076E1,-9.075000763E0,-4.826250076E1,5.653604883E1
1.048418714E0,2.806875038E1,-9.187500000E0,-4.828125381E1,5.659809515E1
1.058418714E0,2.805000114E1,-9.150000572E0,-4.830000305E1,5.659872233E1
1.068418714E0,2.791875076E1,-9.375000000E0,-4.816875076E1,5.645862042E1
1.078418714E0,2.776875114E1,-9.431250572E0,-4.824375153E1,5.645805158E1
1.088418714E0,2.799375153E1,-9.262500763E0,-4.815000153E1,5.646119634E1
1.098418714E0,2.801250076E1,-8.868750572E0,-4.800000000E1,5.627925849E1
1.108418714E0,2.810625076E1,-8.868750572E0,-4.824375153E1,5.653384500E1
1.118418714E0,2.803125191E1,-8.812500000E0,-4.826250076E1,5.650380713E1
1.128418714E0,2.816250038E1,-8.493750572E0,-4.801875305E1,5.631226217E1
1.138418714E0,2.799375153E1,-8.700000763E0,-4.800000000E1,5.624357864E1
1.148418714E0,2.805000114E1,-8.718750000E0,-4.798125076E1,5.625850683E1
1.158418714E0,2.820000076E1,-8.606250763E0,-4.792500305E1,5.626822827E1
1.168418714E0,2.805000114E1,-8.643750191E0,-4.811250305E1,5.635893835E1
1.178418714E0,2.812500191E1,-8.700000763E0,-4.807500076E1,5.637296732E1
1.188418714E0,2.816250038E1,-8.643750191E0,-4.798125076E1,5.630311954E1
1.198418714E0,2.818125153E1,-8.700000763E0,-4.800000000E1,5.633713652E1
1.208418714E0,2.805000114E1,-8.868750572E0,-4.815000153E1,5.642588012E1
1.218418714E0,2.810625076E1,-8.737500191E0,-4.815000153E1,5.643339338E1
1.228418714E0,2.797500038E1,-8.793750763E0,-4.830000305E1,5.650505281E1
1.238418714E0,2.795625114E1,-8.850000381E0,-4.828125381E1,5.648852941E1
1.248418714E0,2.790000153E1,-8.925000191E0,-4.796250153E1,5.620024258E1
1.258418714E0,2.776875114E1,-9.037500381E0,-4.818750381E1,5.634550095E1
1.268418714E0,2.790000153E1,-9.168750763E0,-4.811250305E1,5.636744651E1
1.278418714E0,2.801250076E1,-9.243750572E0,-4.792500305E1,5.627568783E1
1.288418714E0,2.806875038E1,-9.300000191E0,-4.798125076E1,5.636084790E1
1.298418714E0,2.812500191E1,-9.206250191E0,-4.803750229E1,5.642138248E1
1.308418714E0,2.821875191E1,-9.281250000E0,-4.800000000E1,5.644855676E1
1.318418714E0,2.823750114E1,-9.300000191E0,-4.805625153E1,5.650884696E1
1.328418714E0,2.835000038E1,-9.206250191E0,-4.820625305E1,5.667733584E1
1.338418714E0,2.833125114E1,-9.150000572E0,-4.813125229E1,5.659505057E1
